cluster	gene
EN05	C77080
EN05	Ahdc1
EN05	Pafah2
EN05	Il22ra1
EN05	Mir6399
EN05	Necap2
EN05	Ptchd2
EN05	Smim1
EN05	Mmp23
EN05	Klhl17
EN05	Mir879
EN05	Grm3
EN05	Fgl2
EN05	Crygn
EN05	Htr5a
EN05	Slc30a3
EN05	Ywhah
EN05	Gm1673
EN05	Mir7689
EN05	Man2b2
EN05	Slit2
EN05	Amtn
EN05	Areg
EN05	Cxcl11
EN05	Sowahb
EN05	Pcgf3
EN05	Fbrsl1
EN05	Usp30
EN05	Mir7029
EN05	Snrnp35
EN05	Tmem132cos
EN05	5930412G12Rik
EN05	Wbscr27
EN05	Gm15708
EN05	Wasf3
EN05	Pon3
EN05	Cav2
EN05	Ankrd7
EN05	2210010C04Rik
EN05	Gimap1
EN05	Evx1os
EN05	Jazf1
EN05	Cpvl
EN05	4921529L05Rik
EN05	Chn2
EN05	Prr15
EN05	Wdr54
EN05	Bola3
EN05	Asprv1
EN05	Sec61a1
EN05	Cfap100
EN05	Lsm3
EN05	4930511A08Rik
EN05	Tsen2
EN05	Rho
EN05	Pex5
EN05	Tuba3a
EN05	Rad51ap1
EN05	Tspan9
EN05	5330439B14Rik
EN05	Sox5os3
EN05	Leng9
EN05	Tmem238
EN05	Zfp428
EN05	B3gnt8
EN05	Hipk4
EN05	Ovol3
EN05	Syne4
EN05	Lrfn3
EN05	Igflr1
EN05	Fxyd7
EN05	Pepd
EN05	A230077H06Rik
EN05	Hrc
EN05	Hsd17b14
EN05	Izumo1
EN05	Abcc8
EN05	Saa4
EN05	Aldh1a3
EN05	B130024G19Rik
EN05	LOC100505025
EN05	Gm21269
EN05	St8sia2
EN05	1500012K07Rik
EN05	Cpeb1
EN05	Myo7a
EN05	Olfr521
EN05	Rnf169
EN05	Mir3102
EN05	Olfr545
EN05	Xylt1
EN05	Scnn1g
EN05	1700123J17Rik
EN05	Cdipt
EN05	E430018J23Rik
EN05	Ctf1
EN05	Kat8
EN05	Rgs10
EN05	1700120G07Rik
EN05	Sprn
EN05	Olfr527
EN05	Olfr531
EN05	Chid1
EN05	Cttn
EN05	Fgf15
EN05	B930025P03Rik
EN05	Mir7065
EN05	Gas6
EN05	Csmd1
EN05	Defb14
EN05	Defb46
EN05	Eif4ebp1
EN05	Gm9731
EN05	Dusp26
EN05	Mef2b
EN05	Mast3
EN05	F2rl3
EN05	Rnf150
EN05	Adgrl1
EN05	Mir709
EN05	Nfix
EN05	Gm5741
EN05	Adcy7
EN05	Slc6a2
EN05	Car7
EN05	Cdh16
EN05	Rrad
EN05	Pmfbp1
EN05	Dhodh
EN05	4930563M20Rik
EN05	Bco1
EN05	Rab4a
EN05	Acta1
EN05	2310022B05Rik
EN05	Sprtn
EN05	Casp4
EN05	Casp12
EN05	Mmp20
EN05	Yap1
EN05	Sesn3
EN05	Izumo1r
EN05	Icam4
EN05	Mir7667
EN05	4930581F22Rik
EN05	Olfr958
EN05	Olfr961
EN05	Olfr983
EN05	Tecta
EN05	Pdzd3
EN05	4933407I05Rik
EN05	Gldn
EN05	Sh2d7
EN05	Cspg4
EN05	1700072B07Rik
EN05	Smad3
EN05	Rab27a
EN05	Bmp5
EN05	Col12a1
EN05	Pcbp4
EN05	4930447F24Rik
EN05	Ccdc71
EN05	2310075C17Rik
EN05	Lyzl4
EN05	Lyzl4os
EN05	Ano10
EN05	Slc6a20b
EN05	Mir188
EN05	Gpkow
EN05	H2al1f
EN05	Mir19b-2
EN05	Cxx1a
EN05	4933416I08Rik
EN05	Gm773
EN05	Smim10l2a
EN05	Gm364
EN05	Aff2
EN05	Fthl17a
EN05	Mir374b
EN05	Armcx4
EN05	Arxes1
EN05	Mir764
EN05	Gnl3l
EN05	Prps2
EN06	Trpa1
EN06	6720483E21Rik
EN06	Smap1
EN06	Slc39a10
EN06	Raph1
EN06	Wnt10a
EN06	Sgpp2
EN06	1700019O17Rik
EN06	Neu2
EN06	Mir149
EN06	Elk4
EN06	Lemd1
EN06	Pik3c2b
EN06	Plekha6
EN06	Ppfia4
EN06	Syt2
EN06	Lad1
EN06	Lamc2
EN06	Fam163a
EN06	Ralgps2
EN06	Dnm3
EN06	Slamf1
EN06	Slamf6
EN06	Pea15a
EN06	Olfr16
EN06	Cadm3
EN06	Psen2
EN06	Gm5069
EN06	Enah
EN06	Tlr5
EN06	Spata45
EN06	Shprh
EN06	Hebp2
EN06	Tmem200a
EN06	Gm20300
EN06	Dse
EN06	Tube1
EN06	Mfsd4b1
EN06	Pkib
EN06	Mir6906
EN06	Phyhipl
EN06	Ube2d1
EN06	Gstt2
EN06	Zfp280b
EN06	Timm13
EN06	Aes
EN06	Ankrd24
EN06	Trhde
EN06	Ptprb
EN06	Cpm
EN06	BC048403
EN06	Prim1
EN06	Dgka
EN06	Olfr823
EN06	Grb10
EN06	Gm12070
EN06	Kcnmb1
EN06	Cox10
EN06	Sco1
EN06	Mir3062
EN06	Chd3os
EN06	Med11
EN06	Slc25a11
EN06	Fam64a
EN06	Ccdc92b
EN06	Slc13a2os
EN06	Heatr6
EN06	1700125H20Rik
EN06	Car10
EN06	Ngfr
EN06	Krtap3-1
EN06	Cntnap1
EN06	Slc4a1
EN06	Bloodlinc
EN06	Itga2b
EN06	1700023F06Rik
EN06	Arhgap27
EN06	Rprml
EN06	Rnf157
EN06	Zfp750
EN06	Sf3b6
EN06	Acp1
EN06	Sh3yl1
EN06	Prps1l3
EN06	Klhdc2
EN06	Galnt16
EN06	Vash1
EN06	Ngb
EN06	Mir1190
EN06	Gm2721
EN06	Mir342
EN06	Mir673
EN06	Dio3
EN06	Itgb8
EN06	Asb13
EN06	Hist1h2bm
EN06	Hist1h2bj
EN06	Hist1h2af
EN06	Hist1h4c
EN06	Tmem170b
EN06	Zfp169
EN06	Mir6945
EN06	Tmed9
EN06	Cxcl14
EN06	Habp4
EN06	Adamts16
EN06	Zdhhc11
EN06	Pcsk1
EN06	Ocln
EN06	Itga2
EN06	1700110I01Rik
EN06	4930452B06Rik
EN06	Ndst2
EN06	Vcl
EN06	4931406H21Rik
EN06	Israa
EN06	Dcp1a
EN06	Ear3
EN06	AY358078
EN06	Zfhx2os
EN06	Thtpa
EN06	Rnf31
EN06	Rabggta
EN06	Nynrin
EN06	Arl11
EN06	4930556J02Rik
EN06	Nefl
EN06	Loxl2
EN06	Lect1
EN06	Tbc1d4
EN06	Ank
EN06	Kcnv1
EN06	9130401M01Rik
EN06	Ndufb9
EN06	Adcy8
EN06	Efr3a
EN06	Slurp1
EN06	D730001G18Rik
EN06	Kctd17
EN06	4930407I10Rik
EN06	Vdr
EN06	Arf3
EN06	Anks3
EN06	Nagpa
EN06	Usp7
EN06	Rrn3
EN06	Fgd4
EN06	Lztr1
EN06	Vwa5b2
EN06	Rtp4
EN06	Ncbp2
EN06	Slc12a8
EN06	Cfap44
EN06	Alcam
EN06	4930428D20Rik
EN06	Slc22a1
EN06	Fpr3
EN06	Kremen2
EN06	Mapk8ip3
EN06	BC003965
EN06	Rgs11
EN06	Pnpla1
EN06	Ndufa7
EN06	Mir8094
EN06	Adgrf2
EN06	Ankrd66
EN06	Gtpbp2
EN06	Lrrc73
EN06	Lrfn2
EN06	1700025K24Rik
EN06	Ebi3
EN06	Pspn
EN06	Cd70
EN06	Qpct
EN06	4933400B14Rik
EN06	Map3k8
EN06	Snrpd1
EN06	Abhd3
EN06	Kctd1
EN06	Gm10549
EN06	Srp19
EN06	Ik
EN06	Pcdhga12
EN06	Hsd17b4
EN06	Pmaip1
EN06	Gm960
EN06	Peli3
EN06	Npas4
EN06	Mir194-2
EN06	Hrasls5
EN06	Syt7
EN06	Olfr1434
EN06	Trpm3
EN06	Asah2
EN06	Ifit2
EN06	Ifit3b
EN06	Cyp2c38
EN06	Sorbs1
EN06	Marveld1
EN06	Scd4
EN06	St8sia6
EN06	Gm17762
EN06	Mir126b
EN06	Mir3089
EN06	Stxbp1
EN06	Mettl8
EN06	Lnpk1
EN06	Zfp385b
EN06	Ube2l6
EN06	1700029I15Rik
EN06	Cry2
EN06	Kcna4
EN06	Lgr4
EN06	Olfr1307
EN06	Olfr1310
EN06	Ryr3
EN06	Zfp770
EN06	Ivd
EN06	Rpap1
EN06	Polr1b
EN06	Gfra4
EN06	Adam33
EN06	1700026D11Rik
EN06	AU019990
EN06	Btbd3
EN06	Pcsk2
EN06	Trib3
EN06	Ttll9
EN06	1700003F12Rik
EN06	Tshz2
EN06	Ptk6
EN06	Lkaaear1
EN06	Zc2hc1a
EN06	Chmp4c
EN06	Cetn4
EN06	Bbs12
EN06	Mab21l1
EN06	Igsf10
EN06	Plch1
EN06	Serpini1
EN06	Rab25
EN06	Flad1
EN06	Snx27
EN06	Tuft1
EN06	Gm9054
EN06	Hist2h4
EN06	Hsd3b6
EN06	Magi3
EN06	Kcnc4
EN06	Gnai3
EN06	1700003H04Rik
EN06	Slc39a8
EN06	Gm4861
EN06	Gm1653
EN06	Clvs1
EN06	Asph
EN06	Tmem67
EN06	Rbm12b2
EN06	Gm2560
EN06	Exosc3
EN06	Gabbr2
EN06	AI314180
EN06	Zkscan16
EN06	Gm11213
EN06	Pappa
EN06	Lurap1l
EN06	Sh3gl2
EN06	Ifna13
EN06	Fggy
EN06	Lurap1
EN06	Pomgnt1
EN06	Ccdc17
EN06	Oxct2b
EN06	Iqcc
EN06	Aim1l
EN06	Ubxn10
EN06	Htr6
EN06	Gm13032
EN06	Fbxo6
EN06	Gm572
EN06	Adra2c
EN06	Tmem128
EN06	Qdpr
EN06	Lgi2
EN06	Epgn
EN06	Ptpn13
EN06	Dspp
EN06	Gbp6
EN06	Ficd
EN06	Rita1
EN06	Abcb9
EN06	Wbscr17
EN06	Lmtk2
EN06	Hsph1
EN06	Kl
EN06	Rbm28
EN06	Mkrn1
EN06	Dennd2a
EN06	Kel
EN06	Lrrc61
EN06	Ccdc126
EN06	Hottip
EN06	Atoh1
EN06	Smarcad1
EN06	A430078I02Rik
EN06	Gkn1
EN06	March8
EN06	Wnt5b
EN06	Necap1
EN06	Ncapd2
EN06	Tmtc1
EN06	Ceacam15
EN06	Nkpd1
EN06	Zfp61
EN06	Ccer2
EN06	Etv2
EN06	Fxyd1
EN06	Zfp975
EN06	Klk1b4
EN06	Spib
EN06	Kcnj11
EN06	Ntrk3
EN06	Acan
EN06	Kif7
EN06	Art2b
EN06	Nlrp10
EN06	9030624J02Rik
EN06	Zfp747
EN06	Jakmip3
EN06	Pwwp2b
EN06	Echs1
EN06	Pgghg
EN06	Mrgprg
EN06	Fgf3
EN06	Gm38671
EN06	Kbtbd11
EN06	Fat1
EN06	Ddx60
EN06	Trim61
EN06	Gm10033
EN06	Isyna1
EN06	Gtpbp3
EN06	4930432K21Rik
EN06	Dnase2a
EN06	Mast1
EN06	Gpt2
EN06	Ces1c
EN06	9330175E14Rik
EN06	Setd6
EN06	Cdh11
EN06	Slc38a8
EN06	Rnf166
EN06	Mmp27
EN06	Zfp558
EN06	Mir1900
EN06	Bbs9
EN06	9230110F15Rik
EN06	Olfr145
EN06	Vwa5a
EN06	Zpr1
EN06	Rdx
EN06	Tspan3
EN06	Aph1c
EN06	Tpm1
EN06	Slc17a5
EN06	Pxylp1
EN06	Cep70
EN06	Cpne4
EN06	Rpl29
EN06	Ifrd2
EN06	Ip6k2
EN06	Fbxw20
EN06	Nradd
EN06	Xylb
EN06	Tmem255a
EN06	Dcaf12l2
EN06	Mir20b
EN06	AW822252
EN06	Bgn
EN06	Mir5132
EN06	Gdi1
EN06	Gm7173
EN06	Eif2s3x
EN06	1700011M02Rik
EN06	Bex4
EN06	Kir3dl1
EN06	Mid2
EN06	Ammecr1
EN06	Pir
EN07	Mir467e
EN07	Ly96
EN07	Gdap1
EN07	Sdhaf4
EN07	Cfc1
EN07	Mrpl30
EN07	Gm16894
EN07	Il1r2
EN07	Slc9a4
EN07	Slc9a2
EN07	Tpp2
EN07	Col3a1
EN07	Mfsd6
EN07	1700019D03Rik
EN07	Gtf3c3
EN07	Mars2
EN07	Aox2
EN07	Ctla4
EN07	Cryga
EN07	Mir375
EN07	Asic4
EN07	Slc19a3
EN07	9930111H07Rik
EN07	A730008H23Rik
EN07	Ackr3
EN07	Per2
EN07	Mir6900
EN07	Gm6086
EN07	Gin1
EN07	Cntnap5a
EN07	Mgat5
EN07	Il20
EN07	Tmcc2
EN07	Prelp
EN07	Chit1
EN07	Kif14
EN07	Zbtb41
EN07	Rgs13
EN07	Lamc1
EN07	Acbd6
EN07	4930562F07Rik
EN07	Prdx6
EN07	Fmo9
EN07	Rxrg
EN07	Tstd1
EN07	4933439K11Rik
EN07	Fmn2
EN07	Zc2hc1b
EN07	Gm10825
EN07	Taar8a
EN07	Samd3
EN07	4930579H20Rik
EN07	Themis
EN07	Trmt11
EN07	Lama4
EN07	Rpf2
EN07	Gtf3c6
EN07	Cdc40
EN07	Wasf1
EN07	Scml4
EN07	D030045P18Rik
EN07	Srgn
EN07	1110002J07Rik
EN07	Mir1930
EN07	Aire
EN07	1700113H08Rik
EN07	Chpt1
EN07	Cdk17
EN07	Dusp6
EN07	Ptprq
EN07	Nap1l1
EN07	Olfr784
EN07	Erlec1
EN07	Ublcp1
EN07	Itk
EN07	Gm4926
EN07	Trim7
EN07	Olfr1387
EN07	Flt4
EN07	Hnrnph1
EN07	Zfp354b
EN07	P4ha2
EN07	Slc36a1
EN07	1810065E05Rik
EN07	Rnf187
EN07	Hist3h2bb-ps
EN07	Obscn
EN07	Natd1
EN07	2810001G20Rik
EN07	F930015N05Rik
EN07	Rnf222
EN07	G630025P09Rik
EN07	Mgl2
EN07	Ankfy1
EN07	Gosr1
EN07	Dhrs13
EN07	Supt6
EN07	Utp6
EN07	Spaca3
EN07	Dgke
EN07	Nme1
EN07	Fbxo47
EN07	Gm12359
EN07	Krt39
EN07	Krtap3-3
EN07	Krtap4-2
EN07	Pyy
EN07	Nags
EN07	Asb16
EN07	C1ql1
EN07	Ace3
EN07	Kcnh6
EN07	Abca8b
EN07	Sox9
EN07	Gpr142
EN07	2810032G03Rik
EN07	Mir3066
EN07	Cmpk2
EN07	Myt1l
EN07	Hbp1
EN07	Prkar2b
EN07	4930428E07Rik
EN07	1700031P21Rik
EN07	Klhdc1
EN07	4931403G20Rik
EN07	Gm3086
EN07	Mir466o
EN07	Actr10
EN07	Rplp2-ps1
EN07	Pnma1
EN07	Sptlc2
EN07	Nrp
EN07	Fam181a
EN07	Serpina3h
EN07	D430019H16Rik
EN07	Begain
EN07	AF357355
EN07	Mir666
EN07	Akr1c13
EN07	Marcksl1-ps4
EN07	1700016G22Rik
EN07	Klf6
EN07	Adarb2
EN07	Ryr2
EN07	Mtr
EN07	Nid1
EN07	Mrpl32
EN07	A530099J19Rik
EN07	Olfr1367
EN07	Hist1h3g
EN07	Hist1h4f
EN07	Hist1h2ad
EN07	Hist1h3d
EN07	Hist1h2be
EN07	Hist1h3b
EN07	Hist1h2ba
EN07	BC005537
EN07	Nrsn1
EN07	Tubb2a
EN07	Tubb2b
EN07	Pak1ip1
EN07	Tmem14c
EN07	Fbxw17
EN07	Trpc7
EN07	Spata31d1d
EN07	Zfp738
EN07	Zfp273
EN07	Cox7c
EN07	Rps23
EN07	Scamp1
EN07	Polk
EN07	Arhgef28
EN07	Naip1
EN07	Trappc13
EN07	Mir449b
EN07	4921509O07Rik
EN07	Fgf10
EN07	4833420G17Rik
EN07	Nudt13
EN07	4930405A10Rik
EN07	Snord19
EN07	Gm6498
EN07	Ngdn
EN07	Mir3078
EN07	Itm2b
EN07	Siah3
EN07	Lacc1
EN07	Fam216b
EN07	Klf12
EN07	Slain1
EN07	4930432J09Rik
EN07	4930505G20Rik
EN07	Plcxd3
EN07	Skp2
EN07	Pdzd2
EN07	Myo10
EN07	Zfp622
EN07	9430069I07Rik
EN07	Polr2k
EN07	Ankrd46
EN07	Trps1
EN07	Tbc1d31
EN07	Anxa13
EN07	1700065I16Rik
EN07	Ptk2
EN07	Gml
EN07	Tsta3
EN07	Exosc4
EN07	Lrrc14
EN07	Eif3l
EN07	Mir3080
EN07	Mpped1
EN07	Pnpla5
EN07	Fam118a
EN07	C230037L18Rik
EN07	Gpd1
EN07	Scn8a
EN07	Krt86
EN07	Krt90
EN07	Krt76
EN07	Bcl6
EN07	Popdc2
EN07	Igsf11
EN07	Gm19522
EN07	Trat1
EN07	Zbtb11os1
EN07	Abi3bp
EN07	Crybg3
EN07	Cxadr
EN07	B130034C11Rik
EN07	Bach1
EN07	Cldn17
EN07	Krtap7-1
EN07	Kcnj6
EN07	Bace2
EN07	Park2
EN07	Slc22a2
EN07	Igf2r
EN07	Zfp97
EN07	Zfp52
EN07	Zfp760
EN07	Zfp995
EN07	Prss30
EN07	Syngr3
EN07	Mir3547
EN07	Cacna1h
EN07	Nme4
EN07	Cpne5
EN07	Zfp414
EN07	Psmb9
EN07	Tap1
EN07	Psmb8
EN07	H2-Ob
EN07	1110038B12Rik
EN07	Nfkbil1
EN07	H2-T10
EN07	Gabbr1
EN07	E130008D07Rik
EN07	A730006G06Rik
EN07	Kif6
EN07	Zfp119a
EN07	1700061G19Rik
EN07	Cntnap5c
EN07	Dlgap1
EN07	BC027072
EN07	Vit
EN07	2010106C02Rik
EN07	Esco1
EN07	Mir1948
EN07	Taf4b
EN07	Klhl14
EN07	Gm15972
EN07	Gm38666
EN07	Gm38667
EN07	Pcdha9
EN07	Pcdhgc4
EN07	Tcerg1
EN07	Cdo1
EN07	Zfp608
EN07	G630071F17Rik
EN07	Mir122
EN07	Cep192
EN07	Haus1
EN07	Gal3st3
EN07	Mrpl49
EN07	1810009A15Rik
EN07	Ms4a4a
EN07	Mir6994
EN07	Cntf
EN07	Ankrd1
EN07	Scd1
EN07	Mir6405
EN07	Ldb1
EN07	Plekhs1
EN07	Cdc123
EN07	Echdc3
EN07	Mir669f
EN07	Mir297a-4
EN07	Hnmt
EN07	Tbpl2
EN07	Noxa1
EN07	Ndor1
EN07	Olfm1
EN07	6530402F18Rik
EN07	Zer1
EN07	Tbc1d13
EN07	1110008P14Rik
EN07	Lcn2
EN07	Lrp1b
EN07	Zeb2
EN07	Scn2a
EN07	G6pc2
EN07	Klhl23
EN07	Rtn4rl2
EN07	Olfr995
EN07	Commd9
EN07	Chrm5
EN07	3110099E03Rik
EN07	2810405F15Rik
EN07	Fsip1
EN07	Plcb2
EN07	Ctxn2
EN07	Slc12a1
EN07	Tgm6
EN07	5330413P13Rik
EN07	Plcb1
EN07	Mir3963
EN07	Pcsk2os1
EN07	Kif3b
EN07	Bpifb4
EN07	Necab3
EN07	Dlgap4
EN07	4930405A21Rik
EN07	Ndrg3
EN07	Fitm2
EN07	Pkig
EN07	Wfdc8
EN07	Spint4
EN07	Acot8
EN07	Zfp663
EN07	Pck1
EN07	1700021F07Rik
EN07	Zfp971
EN07	Ythdf1
EN07	Polr3k
EN07	Zfhx4
EN07	1700010I02Rik
EN07	Impa1
EN07	Hltf
EN07	Tmem212
EN07	Gm1527
EN07	D3Ertd751e
EN07	Commd2
EN07	P2ry14
EN07	Gfm1
EN07	Otol1
EN07	Zbbx
EN07	Plrg1
EN07	4933434E20Rik
EN07	Mrpl9
EN07	Hist2h2bb
EN07	Lix1l
EN07	Sec22b
EN07	A230001M10Rik
EN07	Lrit3
EN07	Ostc
EN07	Gm11837
EN07	Mir873a
EN07	Smu1
EN07	Dnaic1
EN07	Dctn3
EN07	Ccin
EN07	Stra6l
EN07	Tmeff1
EN07	Tal2
EN07	Zfp618
EN07	Mir455
EN07	Mllt3
EN07	Ifna11
EN07	Dock7
EN07	C8a
EN07	Cyb5rl
EN07	Ebna1bp2
EN07	Hpcal4
EN07	Gm12925
EN07	Mir697
EN07	Eva1b
EN07	Laptm5
EN07	Ppp1r8
EN07	Stx12
EN07	Stpg1
EN07	Htr1d
EN07	Hp1bp3
EN07	Gm13030
EN07	Cep104
EN07	Snord93
EN07	Nom1
EN07	Krtcap3
EN07	Letm1
EN07	Clnk
EN07	8030423F21Rik
EN07	Nwd2
EN07	Uchl1
EN07	Tmem33
EN07	Gabrg1
EN07	1700025M24Rik
EN07	Ociad2
EN07	Ppat
EN07	1700063O14Rik
EN07	Cxcl9
EN07	Lin54
EN07	Idua
EN07	Srsf9
EN07	1700081H04Rik
EN07	Hpd
EN07	Dnah10
EN07	Tmem132b
EN07	Tmem132d
EN07	Zfp11
EN07	Zscan21
EN07	Smurf1
EN07	Wdr95
EN07	Peg10
EN07	Mir129-1
EN07	Hilpda
EN07	Opn1sw
EN07	Atp6v1f
EN07	Ptn
EN07	Ssbp1
EN07	Malsu1
EN07	Grid2
EN07	4933431G14Rik
EN07	Mat2a
EN07	Mir7041
EN07	Cidec
EN07	Tmem40
EN07	Csgalnact2
EN07	Pex26
EN07	Rimklb
EN07	1700027F06Rik
EN07	4930417O13Rik
EN07	Klrb1b
EN07	Clec7a
EN07	Tas2r122
EN07	Fam234b
EN07	Golt1b
EN07	Rps4l
EN07	Bicd1
EN07	3300002P13Rik
EN07	Tfpt
EN07	Tmc4
EN07	Zfp579
EN07	Zim1
EN07	Zfp329
EN07	Zbtb45
EN07	Slc8a2
EN07	Tmem160
EN07	Ceacam9
EN07	Gm4598
EN07	Pafah1b3
EN07	Acp7
EN07	Zfp790
EN07	Zfp940
EN07	Zfp14
EN07	Kirrel2
EN07	Lrp3
EN07	Vstm2b
EN07	Zfp819
EN07	Klk1b8
EN07	Nomo1
EN07	Fancf
EN07	Mir6416
EN07	Mcee
EN07	Mir7-2
EN07	Prss23
EN07	Chrdl2
EN07	Olfr714
EN07	Spon1
EN07	Gpr139
EN07	Hs3st2
EN07	4933440M02Rik
EN07	Kdm8
EN07	Mir7058
EN07	1700029B22Rik
EN07	Mmp21
EN07	Msx3
EN07	Ap2a2
EN07	Muc6
EN07	Nctc1
EN07	F10
EN07	Fut10
EN07	Nrg1
EN07	Tenm3
EN07	Tll1
EN07	Tmem192
EN07	Tmem59l
EN07	Zfp709
EN07	Tmem38a
EN07	Hmgxb4
EN07	Hmox1
EN07	Asna1
EN07	Dhps
EN07	Gm10638
EN07	Chd9
EN07	Irx5
EN07	Ces1b
EN07	Prss54
EN07	Mir28c
EN07	Dync1li2
EN07	B3gnt9
EN07	Tmed6
EN07	Calb2
EN07	Ddx19a
EN07	Gabarapl2
EN07	Hsbp1
EN07	A330074K22Rik
EN07	Gas8
EN07	Ccsap
EN07	Coa6
EN07	Igsf9b
EN07	Arhgap32
EN07	Olfr160
EN07	Olfr955
EN07	Crtam
EN07	1700063D05Rik
EN07	Cxcr5
EN07	Kmt2a
EN07	Cd3e
EN07	Tmem266
EN07	Cyp11a1
EN07	Tbc1d21
EN07	I730028E13Rik
EN07	Vwa9
EN07	Csnk1g1
EN07	Gm19299
EN07	Unc13c
EN07	Htr1b
EN07	4930524O08Rik
EN07	Nmnat3
EN07	Dzip1l
EN07	Atp2c1
EN07	Iqcf3
EN07	Rad54l2
EN07	Klhl18
EN07	Arpp21
EN07	2900079G21Rik
EN07	Wdr48
EN07	Kif15
EN07	Gm3763
EN07	2010204K13Rik
EN07	Cask
EN07	Mir222
EN07	Sept6
EN07	Slc25a14
EN07	Cd99l2
EN07	Gm44504
EN07	Stard8
EN07	Awat1
EN07	Pin4
EN07	Tsix
EN07	Brwd3
EN07	Tceal8
EN07	Esx1
EN07	Psmd10
EN07	Htr2c
EN07	3010001F23Rik
EN07	Magea1
EN07	Phka2
EN07	Ctps2
EN07	Tmsb4x
EN08	2610203C22Rik
EN08	4931408C20Rik
EN08	Gm15455
EN08	Pantr2
EN08	Ercc5
EN08	9330175M20Rik
EN08	1700019A02Rik
EN08	Gpr1
EN08	Plcd4
EN08	Resp18
EN08	Gmppa
EN08	Ap1s3
EN08	Fam124b
EN08	Mir6353
EN08	Gm19582
EN08	Mir6901
EN08	Slco4c1
EN08	Serpinb12
EN08	Tmem163
EN08	Mir128-1
EN08	Pigr
EN08	Rassf5
EN08	Slc26a9
EN08	Fmod
EN08	Mybph
EN08	Igfn1
EN08	Mir1843b
EN08	Tnr
EN08	Mir6347
EN08	Gm7694
EN08	Fcrlb
EN08	Olfr231
EN08	Kif26b
EN08	Mir215
EN08	Gm2061
EN08	Akap12
EN08	Zc3h12d
EN08	4930567K20Rik
EN08	C330004P14Rik
EN08	Raet1b
EN08	L3mbtl3
EN08	Trdn
EN08	Zufsp
EN08	Fam26e
EN08	Popdc3
EN08	Pln
EN08	Gm20597
EN08	Fabp7
EN08	Smpdl3a
EN08	Unc5b
EN08	Hk1
EN08	Pbld1
EN08	Reep3
EN08	Ank3
EN08	Ccdc6
EN08	1700049L16Rik
EN08	Rsph14
EN08	Bcr
EN08	Derl3
EN08	Mir6910
EN08	Zfp938
EN08	Rtcb
EN08	Slc5a8
EN08	Gas2l3
EN08	Actr6
EN08	4930525C09Rik
EN08	4930532I03Rik
EN08	Myf6
EN08	Gm29685
EN08	Lgr5
EN08	Mir546
EN08	Agap2
EN08	Spryd4
EN08	Mir6915
EN08	Olfr822
EN08	Nefh
EN08	Dbnl
EN08	Gck
EN08	Ddx56
EN08	Wap
EN08	Tenm2
EN08	Cyfip2
EN08	Olfr1382
EN08	Adamts2
EN08	Zfp2
EN08	Trim11
EN08	Zfp867
EN08	Dnah9
EN08	Myh1
EN08	Rangrf
EN08	4933402P03Rik
EN08	Slc16a13
EN08	Nup88
EN08	6330403K07Rik
EN08	Gm11190
EN08	Mir144
EN08	Vtn
EN08	Gm11201
EN08	Rhbdl3
EN08	AI662270
EN08	AI450353
EN08	Dynll2
EN08	2210409E12Rik
EN08	Dgkeos
EN08	Tom1l1
EN08	Nme2
EN08	Spata20
EN08	Copz2
EN08	Arhgap23
EN08	Tns4
EN08	Krt12
EN08	Krt17
EN08	Ramp2
EN08	Spata32
EN08	4732490B19Rik
EN08	Mir6516
EN08	2900041M22Rik
EN08	Fn3krp
EN08	Wdr35
EN08	Iah1
EN08	Kidins220
EN08	Adi1
EN08	Hdac9
EN08	Mir1892
EN08	Map4k5
EN08	4930404H11Rik
EN08	Rad51b
EN08	Scarna3b
EN08	Plekhd1
EN08	Esrrb
EN08	Gpr65
EN08	Gm10432
EN08	Ifi27
EN08	Serpina11
EN08	Eml1
EN08	Mir3070b
EN08	Mir434
EN08	Rian
EN08	Mir1188
EN08	Mir758
EN08	Mir134
EN08	Mir485
EN08	Mir369
EN08	3110009F21Rik
EN08	Klc1
EN08	Rd3l
EN08	Mir203
EN08	Inf2
EN08	Gm5441
EN08	Mir153
EN08	Dnah11
EN08	Akr1c18
EN08	Gpr137b-ps
EN08	AW209491
EN08	Prss16
EN08	Abt1
EN08	Hist1h4h
EN08	Tdp2
EN08	Dcdc2a
EN08	Serpinb6c
EN08	1110046J04Rik
EN08	Ly86
EN08	Mak
EN08	Elovl2
EN08	Sirt5
EN08	Shc3
EN08	BB123696
EN08	Prelid1
EN08	B4galt7
EN08	Slc25a48
EN08	4930455J16Rik
EN08	Mir27b
EN08	Hsd17b3
EN08	1700084F23Rik
EN08	Glrx
EN08	Ankrd34b
EN08	AW495222
EN08	F2rl2
EN08	Lncenc1
EN08	2310020H05Rik
EN08	Gm30551
EN08	Hcn1
EN08	Tmem267
EN08	Psmd6
EN08	Synpo2l
EN08	Colq
EN08	Cdh24
EN08	Tgm1
EN08	Defb30
EN08	Msra
EN08	Chrna2
EN08	Stmn4
EN08	Bmp1
EN08	Xpo7
EN08	Gm4251
EN08	Spert
EN08	Serp2
EN08	Epsti1
EN08	1700044C05Rik
EN08	Nalcn
EN08	Slc45a2
EN08	1700047G03Rik
EN08	Cdh6
EN08	Ankrd33b
EN08	Baalc
EN08	Enpp2
EN08	Pvt1
EN08	Arc
EN08	Fbxl6
EN08	Commd5
EN08	Il2rb
