cluster	gene
A1	Tcf19
A1	Cd2ap
A1	Pla2g7
A1	Vegfa
A1	Klc4
A1	Tfeb
A1	Adgre4
A1	Uhrf1
A1	Twsg1
A1	Memo1
A1	Strn
A1	Sos1
A1	Epas1
A1	Mib1
A1	Gm6277
A1	3110002H16Rik
A1	Aqp4
A1	Ttr
A1	Garem1
A1	Tpgs2
A1	Cxxc5
A1	Ankhd1
A1	Pcdhgc3
A1	Nr3c1
A1	Dpysl3
A1	Fem1c
A1	Eif1a
A1	Tnfaip8
A1	Fech
A1	Nedd4l
A1	Scarna17
A1	Ankrd13d
A1	Pcx
A1	Rbm14
A1	Efemp2
A1	Snx32
A1	Ltbp3
A1	Malat1
A1	Neat1
A1	Cdc42bpg
A1	Sf1
A1	Plcb3
A1	Cox8a
A1	Slc3a2
A1	1700092M07Rik
A1	Rab3il1
A1	Fads2
A1	Fads1
A1	Mir6993
A1	Zfp91
A1	Psat1
A1	Prune2
A1	Rorb
A1	E030003E18Rik
A1	Klf9
A1	Mir1192
A1	Smc5
A1	Mamdc2
A1	Cdc37l1
A1	Ak3
A1	1700018L02Rik
A1	2700046G09Rik
A1	Papss2
A1	Pten
A1	Ifit3
A1	March5
A1	Lgi1
A1	Nfkb2
A1	Actr1a
A1	Sufu
A1	Arl3
A1	AA387883
A1	Smndc1
A1	Tectb
A1	E330013P04Rik
A1	Frmd4a
A1	Fbxo18
A1	Vim
A1	Arl5b
A1	Ptf1aos
A1	Gm3230
A1	Yme1l1
A1	Mrpl41
A1	Nrarp
A1	Fam166a
A1	Traf2
A1	Ubac1
A1	Nacc2
A1	Sardh
A1	Wdr5
A1	Phyhd1
A1	Ass1
A1	Rab14
A1	Epc2
A1	Acvr1
A1	Prkra
A1	Zdhhc5
A1	Pacsin3
A1	Trim44
A1	Snap23
A1	Ell3
A1	Stard7
A1	Mertk
A1	4930473A02Rik
A1	Mavs
A1	Prn
A1	Tmem230
A1	4933406D12Rik
A1	Kiz
A1	Nkx2-2
A1	Acss1
A1	Pygb
A1	Bcl2l1
A1	Foxs1
A1	Raly
A1	Cep250
A1	Rprd1b
A1	Ralgapb
A1	Top1
A1	Lpin3
A1	Chd6
A1	Trp53rka
A1	Bmp7
A1	Stx16
A1	Nelfcd
A1	Lsm14b
A1	Rps21
A1	Mir3091
A1	Gid8
A1	Zbtb46
A1	Tpd52l2
A1	1700125G22Rik
A1	Mrpl47
A1	Ccna2
A1	Hspa4l
A1	Elf2
A1	Frem2
A1	Spg20
A1	Arhgef26
A1	Slc33a1
A1	Ift80
A1	Kpna4
A1	Gm1647
A1	Arfip1
A1	Hdgf
A1	Bcan
A1	1700113A16Rik
A1	Paqr6
A1	Ubqln4
A1	4632404H12Rik
A1	Chtop
A1	S100a13
A1	Txnip
A1	Pias3
A1	Chd1l
A1	Phtf1
A1	Lrig2
A1	Gstm5
A1	Gstm7
A1	Tmem167b
A1	Clcc1
A1	Gpsm2
A1	S1pr1
A1	Dph5
A1	Dbt
A1	Agl
A1	Snx7
A1	Bcar3
A1	Rpl34
A1	Aimp1
A1	Tbck
A1	4930539J05Rik
A1	Pdlim5
A1	Gbp3
A1	Sep15
A1	Ddah1
A1	Bcl10
A1	Acadm
A1	Plag1
A1	Chchd7
A1	Tox
A1	Car8
A1	Gem
A1	Ripk2
A1	Pnrc1
A1	Gm6297
A1	Nol6
A1	Trmo
A1	Anp32b
A1	Alg2
A1	Tex10
A1	Bnc2
A1	Acer2
A1	Nfia
A1	Ror1
A1	Cachd1
A1	Plpp3
A1	Acot11
A1	0610037L13Rik
A1	Cpt2
A1	Scp2
A1	Cdkn2c
A1	Dmrta2
A1	Spata6
A1	Cap1
A1	Mfsd2a
A1	Rragc
A1	5730409E04Rik
A1	Xkr8
A1	Fam76a
A1	Id3
A1	Zbtb40
A1	Alpl
A1	Ubr4
A1	Klhdc7a
A1	Mir2139
A1	B330016D10Rik
A1	Tmem82
A1	Tmem51
A1	Tmem51os1
A1	Mad2l2
A1	Mir7022
A1	Lzic
A1	Car6
A1	Per3
A1	A430005L14Rik
A1	Trp73
A1	Wdr8
A1	5930403L14Rik
A1	Hes5
A1	Ski
A1	Tmem52
A1	Vwa1
A1	Akap9
A1	Cyp51
A1	Fzd1
A1	Slc25a40
A1	Dmtf1
A1	Phtf2
A1	Fam126a
A1	1700096K18Rik
A1	Paxip1
A1	Garem2
A1	Hadha
A1	Abhd1
A1	Preb
A1	Snx17
A1	Fam53a
A1	Fgfr3
A1	Add1
A1	Trmt44
A1	Gm7854
A1	Fbxl5
A1	Prom1
A1	Tec
