Exp100-Sample1.all_Tn5-CACCAC_BC03519_N01	CD8-like
Exp100-Sample1.all_Tn5-CACCAC_BC03552_N04	Early-Ery
Exp100-Sample1.all_Tn5-CACCAC_BC03695_N04	B-like-2
Exp100-Sample1.all_Tn5-CACCAC_BC03718_N04	CD4-like
Exp100-Sample1.all_Tn5-CACCAC_BC03837_N03	B-like-1
Exp100-Sample1.all_Tn5-CACCAC_BC04256_N04	Collision
Exp100-Sample1.all_Tn5-CACCAC_BC04523_N03	Collision
Exp100-Sample1.all_Tn5-CACCAC_BC04587_N02	Late-Ery
Exp100-Sample1.all_Tn5-CACCAC_BC04635_N04	mDC-like
Exp100-Sample1.all_Tn5-CACTGT_BC00074_N03	CD34-like
Exp100-Sample1.all_Tn5-CACTGT_BC00156_N02	mDC-like
Exp100-Sample1.all_Tn5-CACTGT_BC00302_N03	mDC-like
Exp100-Sample1.all_Tn5-CACTGT_BC00340_N01	CD4-like
Exp100-Sample1.all_Tn5-CACTGT_BC00436_N01	CD4-like
Exp100-Sample1.all_Tn5-CACTGT_BC00465_N01	mDC-like
Exp100-Sample1.all_Tn5-CACTGT_BC00556_N03	CLP-like-2
Exp100-Sample1.all_Tn5-CACTGT_BC00582_N03	CD8-like
Exp100-Sample1.all_Tn5-CACTGT_BC00617_N01	B-like-2
Exp100-Sample1.all_Tn5-CACTGT_BC00656_N01	Collision
Exp100-Sample1.all_Tn5-CACTGT_BC00779_N02	CD8-like
Exp100-Sample1.all_Tn5-CACTGT_BC00833_N02	CD8-like
Exp100-Sample1.all_Tn5-CACTGT_BC00880_N01	CD4-like
Exp100-Sample1.all_Tn5-CACTGT_BC00895_N02	CD4-like
Exp100-Sample1.all_Tn5-CACTGT_BC00937_N01	CMP-like
Exp100-Sample1.all_Tn5-CACTGT_BC01001_N02	B-like-2
Exp100-Sample1.all_Tn5-CACTGT_BC01015_N03	B-like-1
Exp100-Sample1.all_Tn5-CACTGT_BC01078_N02	Mono-like
Exp100-Sample1.all_Tn5-CACTGT_BC01123_N01	mDC-like
Exp100-Sample1.all_Tn5-CACTGT_BC01176_N03	NK-like
Exp100-Sample1.all_Tn5-CACTGT_BC01286_N03	CD4-like
Exp100-Sample1.all_Tn5-CACTGT_BC01351_N04	CLP-like-2
Exp100-Sample1.all_Tn5-CACTGT_BC01455_N01	CMP-like
Exp100-Sample1.all_Tn5-CACTGT_BC01477_N03	CD4-like
Exp100-Sample1.all_Tn5-CACTGT_BC01505_N02	NK-like
Exp100-Sample1.all_Tn5-CACTGT_BC01555_N03	CD4-like
Exp100-Sample1.all_Tn5-CACTGT_BC01568_N02	CMP-like
Exp100-Sample1.all_Tn5-CACTGT_BC01630_N03	Early-Ery
Exp100-Sample1.all_Tn5-CACTGT_BC01755_N01	B-like-1
Exp100-Sample1.all_Tn5-CACTGT_BC01884_N04	mDC-like
Exp100-Sample1.all_Tn5-CACTGT_BC01916_N03	CD8-like
Exp100-Sample1.all_Tn5-CACTGT_BC01927_N02	CD4-like
Exp100-Sample1.all_Tn5-CACTGT_BC01988_N03	CD4-like
Exp100-Sample1.all_Tn5-CACTGT_BC02003_N02	mDC-like
Exp100-Sample1.all_Tn5-CACTGT_BC02199_N03	mDC-like
Exp100-Sample1.all_Tn5-CACTGT_BC02260_N03	CD4-like
Exp100-Sample1.all_Tn5-CACTGT_BC02321_N03	CD4-like
Exp100-Sample1.all_Tn5-CACTGT_BC02418_N03	CD4-like
Exp100-Sample1.all_Tn5-CACTGT_BC02467_N01	CD4-like
Exp100-Sample1.all_Tn5-CACTGT_BC02519_N03	Late-Ery
Exp100-Sample1.all_Tn5-CACTGT_BC02541_N01	Mono-like
Exp100-Sample1.all_Tn5-CACTGT_BC02636_N02	CD4-like
Exp100-Sample1.all_Tn5-CACTGT_BC02711_N03	CMP-like
Exp100-Sample1.all_Tn5-CACTGT_BC02794_N03	CD4-like
Exp100-Sample1.all_Tn5-CACTGT_BC02862_N04	CD8-like
Exp100-Sample1.all_Tn5-CACTGT_BC02891_N03	CD8-like
Exp100-Sample1.all_Tn5-CACTGT_BC02898_N03	CD4-like
Exp100-Sample1.all_Tn5-CACTGT_BC03199_N04	CD4-like
Exp100-Sample1.all_Tn5-CACTGT_BC03242_N03	B-like-2
Exp100-Sample1.all_Tn5-CACTGT_BC03469_N04	CD8-like
Exp100-Sample1.all_Tn5-CACTGT_BC03499_N04	CD4-like
Exp100-Sample1.all_Tn5-CACTGT_BC03729_N03	Collision
Exp100-Sample1.all_Tn5-CACTGT_BC03730_N04	mDC-like
Exp100-Sample1.all_Tn5-CACTGT_BC03887_N04	CD8-like
Exp100-Sample1.all_Tn5-CACTGT_BC04273_N03	CD4-like
Exp100-Sample1.all_Tn5-CACTGT_BC04685_N02	mDC-like
Exp100-Sample1.all_Tn5-CACTGT_BC05550_N04	CD8-like
Exp100-Sample1.all_Tn5-CAGACT_BC00253_N01	B-like-1
Exp100-Sample1.all_Tn5-CAGACT_BC00282_N03	Early-Ery
Exp100-Sample1.all_Tn5-CAGACT_BC00307_N02	mDC-like
Exp100-Sample1.all_Tn5-CAGACT_BC00327_N01	mDC-like
Exp100-Sample1.all_Tn5-CAGACT_BC00413_N04	CD34-like
Exp100-Sample1.all_Tn5-CAGACT_BC00590_N01	CD4-like
Exp100-Sample1.all_Tn5-CAGACT_BC00609_N03	CLP-like-2
Exp100-Sample1.all_Tn5-CAGACT_BC00730_N01	CD4-like
Exp100-Sample1.all_Tn5-CAGACT_BC00958_N02	Late-Ery
Exp100-Sample1.all_Tn5-CAGACT_BC01097_N03	mDC-like
Exp100-Sample1.all_Tn5-CAGACT_BC01188_N03	NK-like
Exp100-Sample1.all_Tn5-CAGACT_BC01195_N02	CD4-like
Exp100-Sample1.all_Tn5-CAGACT_BC01196_N02	CD4-like
Exp100-Sample1.all_Tn5-CAGACT_BC01304_N01	CD4-like
Exp100-Sample1.all_Tn5-CAGACT_BC01362_N02	B-like-2
Exp100-Sample1.all_Tn5-CAGACT_BC01462_N02	CD4-like
Exp100-Sample1.all_Tn5-CAGACT_BC01549_N02	CD4-like
Exp100-Sample1.all_Tn5-CAGACT_BC01582_N02	CD8-like
Exp100-Sample1.all_Tn5-CAGACT_BC01621_N02	CD4-like
Exp100-Sample1.all_Tn5-CAGACT_BC01724_N02	CD4-like
Exp100-Sample1.all_Tn5-CAGACT_BC01923_N03	mDC-like
Exp100-Sample1.all_Tn5-CAGACT_BC01924_N02	B-like-2
Exp100-Sample1.all_Tn5-CAGACT_BC01948_N03	NK-like
Exp100-Sample1.all_Tn5-CAGACT_BC02027_N03	CD8-like
Exp100-Sample1.all_Tn5-CAGACT_BC02043_N02	Mono-like
Exp100-Sample1.all_Tn5-CAGACT_BC02062_N03	CD4-like
Exp100-Sample1.all_Tn5-CAGACT_BC02145_N01	B-like-2
Exp100-Sample1.all_Tn5-CAGACT_BC02163_N02	CD4-like
Exp100-Sample1.all_Tn5-CAGACT_BC02232_N02	CD8-like
Exp100-Sample1.all_Tn5-CAGACT_BC02344_N02	CD4-like
Exp100-Sample1.all_Tn5-CAGACT_BC02611_N04	mDC-like
Exp100-Sample1.all_Tn5-CAGACT_BC02674_N02	Mono-like
Exp100-Sample1.all_Tn5-CAGACT_BC02755_N01	mDC-like
Exp100-Sample1.all_Tn5-CAGACT_BC02763_N04	mDC-like
Exp100-Sample1.all_Tn5-CAGACT_BC02798_N03	B-like-2
Exp100-Sample1.all_Tn5-CAGACT_BC02874_N02	Late-Ery
Exp100-Sample1.all_Tn5-CAGACT_BC03067_N03	mDC-like
Exp100-Sample1.all_Tn5-CAGACT_BC03131_N02	mDC-like
Exp100-Sample1.all_Tn5-CAGACT_BC03684_N04	CD8-like
Exp100-Sample1.all_Tn5-CAGACT_BC03759_N03	Mono-like
Exp100-Sample1.all_Tn5-CAGACT_BC03916_N01	CD4-like
Exp100-Sample1.all_Tn5-CAGACT_BC03934_N03	Collision
Exp100-Sample1.all_Tn5-CAGACT_BC04023_N04	mDC-like
Exp100-Sample1.all_Tn5-CAGACT_BC04160_N04	CD4-like
Exp100-Sample1.all_Tn5-CAGACT_BC04329_N03	Collision
Exp100-Sample1.all_Tn5-CAGACT_BC04339_N04	CD4-like
Exp100-Sample1.all_Tn5-CAGACT_BC04794_N04	Collision
Exp100-Sample1.all_Tn5-CAGGAG_BC00155_N01	B-like-1
Exp100-Sample1.all_Tn5-CAGGAG_BC00411_N01	CD34-like
Exp100-Sample1.all_Tn5-CAGGAG_BC00457_N01	mDC-like
Exp100-Sample1.all_Tn5-CAGGAG_BC00459_N02	mDC-like
Exp100-Sample1.all_Tn5-CAGGAG_BC00661_N01	CD4-like
Exp100-Sample1.all_Tn5-CAGGAG_BC00683_N02	CLP-like-2
Exp100-Sample1.all_Tn5-CAGGAG_BC00737_N02	CD8-like
