cell_ID	tSNE1	tSNE2	cellType
CD34_Donor1_S1_BC0476_N01	4.55	-6.38	CD34
CD34_Donor1_S1_BC0478_N01	3.20	-11.38	CD34
CD34_Donor1_S1_BC0479_N01	25.30	-22.26	CD34
CD34_Donor1_S1_BC0480_N01	12.79	-9.61	CD34
CD34_Donor1_S1_BC0481_N02	11.77	-20.45	CD34
CD34_Donor1_S1_BC0482_N01	9.88	-17.20	CD34
CD34_Donor1_S1_BC0483_N01	14.54	-10.40	CD34
CD34_Donor1_S1_BC0484_N01	1.59	-30.16	CD34
CD34_Donor1_S1_BC0487_N01	22.16	-20.14	CD34
CD34_Donor1_S1_BC0488_N01	11.35	-26.19	CD34
CD34_Donor1_S1_BC0489_N01	19.00	-12.55	CD34
CD34_Donor1_S1_BC0490_N01	2.74	-32.46	CD34
CD34_Donor1_S1_BC0492_N01	22.60	-7.76	CD34
CD34_Donor1_S1_BC0494_N01	15.52	-1.55	CD34
CD34_Donor1_S1_BC0495_N01	5.42	-27.79	CD34
CD34_Donor1_S1_BC0496_N01	4.50	-30.61	CD34
CD34_Donor1_S1_BC0497_N01	13.60	-7.99	CD34
CD34_Donor1_S1_BC0499_N01	15.42	-16.56	CD34
CD34_Donor1_S1_BC0500_N01	2.20	-17.70	CD34
CD34_Donor1_S1_BC0501_N01	7.12	-5.11	CD34
CD34_Donor1_S1_BC0503_N01	19.80	-19.18	CD34
CD34_Donor1_S1_BC0505_N01	7.17	-8.61	CD34
CD34_Donor1_S1_BC0506_N02	22.98	16.15	CD34
CD34_Donor1_S1_BC0511_N01	14.79	-4.89	CD34
CD34_Donor1_S1_BC0512_N01	4.65	-28.37	CD34
CD34_Donor1_S1_BC0514_N01	2.27	-10.02	CD34
CD34_Donor1_S1_BC0515_N01	16.77	-6.60	CD34
CD34_Donor1_S1_BC0516_N01	24.85	-3.45	CD34
CD34_Donor1_S1_BC0517_N01	21.38	23.42	CD34
CD34_Donor1_S1_BC0518_N01	-3.13	5.43	CD34
CD34_Donor1_S1_BC0521_N01	19.10	27.36	CD34
CD34_Donor1_S1_BC0522_N01	7.16	-29.38	CD34
CD34_Donor1_S1_BC0523_N01	22.42	-9.91	CD34
CD34_Donor1_S1_BC0525_N01	3.62	-28.45	CD34
CD34_Donor1_S1_BC0527_N01	16.49	-18.16	CD34
CD34_Donor1_S1_BC0530_N01	20.46	-16.02	CD34
CD34_Donor1_S1_BC0531_N01	23.06	15.97	CD34
CD34_Donor1_S1_BC0532_N01	12.68	-10.03	CD34
CD34_Donor1_S1_BC0535_N01	15.53	-15.91	CD34
CD34_Donor1_S1_BC0537_N01	21.41	-12.15	CD34
CD34_Donor1_S1_BC0541_N01	20.06	-13.79	CD34
CD34_Donor1_S1_BC0543_N01	4.21	-32.48	CD34
CD34_Donor1_S1_BC0546_N01	8.47	-10.53	CD34
CD34_Donor1_S1_BC0548_N01	6.44	-13.64	CD34
CD34_Donor1_S1_BC0550_N01	20.72	21.56	CD34
CD34_Donor1_S1_BC0553_N01	14.81	-11.82	CD34
CD34_Donor1_S1_BC0554_N01	20.59	-13.58	CD34
CD34_Donor1_S1_BC0559_N01	3.14	5.00	CD34
CD34_Donor1_S1_BC0563_N01	22.83	16.09	CD34
CD34_Donor1_S1_BC0566_N01	5.73	-29.28	CD34
CD34_Donor1_S1_BC0575_N02	14.74	-7.83	CD34
CD34_Donor1_S1_BC0577_N01	14.80	-8.73	CD34
CD34_Donor1_S1_BC0580_N01	17.48	-17.57	CD34
CD34_Donor1_S1_BC0582_N01	8.83	-12.77	CD34
CD34_Donor1_S1_BC0583_N01	14.29	-14.34	CD34
CD34_Donor1_S1_BC0587_N01	4.16	3.17	CD34
CD34_Donor1_S1_BC0590_N01	7.63	-30.27	CD34
CD34_Donor1_S1_BC0591_N01	27.65	-4.99	CD34
CD34_Donor1_S1_BC0595_N01	9.83	-0.19	CD34
CD34_Donor1_S1_BC0597_N01	20.69	-11.81	CD34
CD34_Donor1_S1_BC0598_N01	13.95	-5.57	CD34
CD34_Donor1_S1_BC0601_N01	4.70	-27.76	CD34
