cell_ID	tSNE1	tSNE2	cellType
Exp47_CD34_merged_all_BC3472_N01	28.21	-21.76	CD34
Exp47_CD34_merged_all_BC3473_N01	22.67	7.40	CD34
Exp47_CD34_merged_all_BC3474_N01	18.62	14.63	CD34
Exp47_CD34_merged_all_BC3475_N01	30.88	1.69	CD34
Exp47_CD34_merged_all_BC3476_N01	24.75	-17.64	CD34
Exp47_CD34_merged_all_BC3477_N01	29.29	-8.38	CD34
Exp47_CD34_merged_all_BC3478_N01	26.76	1.64	CD34
Exp47_CD34_merged_all_BC3479_N01	31.28	2.28	CD34
Exp47_CD34_merged_all_BC3480_N01	21.09	25.23	CD34
Exp47_CD34_merged_all_BC3481_N01	24.96	-6.92	CD34
Exp47_CD34_merged_all_BC3482_N01	26.22	9.32	CD34
Exp47_CD34_merged_all_BC3483_N01	22.37	13.15	CD34
Exp47_CD34_merged_all_BC3484_N01	12.65	-3.84	CD34
Exp47_CD34_merged_all_BC3485_N01	3.14	-27.95	CD34
Exp47_CD34_merged_all_BC3486_N01	14.42	24.47	CD34
Exp47_CD34_merged_all_BC3487_N01	14.40	-9.93	CD34
Exp47_CD34_merged_all_BC3488_N01	28.45	-9.75	CD34
Exp47_CD34_merged_all_BC3489_N01	10.53	-2.71	CD34
Exp47_CD34_merged_all_BC3490_N01	7.64	-2.04	CD34
Exp47_CD34_merged_all_BC3491_N01	12.37	-7.22	CD34
Exp47_CD34_merged_all_BC3492_N01	13.92	3.59	CD34
Exp47_CD34_merged_all_BC3493_N01	5.74	4.75	CD34
Exp47_CD34_merged_all_BC3494_N01	0.29	6.50	CD34
Exp47_CD34_merged_all_BC3495_N01	0.85	-25.59	CD34
Exp47_CD34_merged_all_BC3496_N01	18.34	21.28	CD34
Exp47_CD34_merged_all_BC3497_N01	3.44	-0.62	CD34
Exp47_CD34_merged_all_BC3498_N01	29.97	2.54	CD34
Exp47_CD34_merged_all_BC3499_N01	13.52	22.49	CD34
Exp47_CD34_merged_all_BC3501_N01	18.75	-3.19	CD34
Exp47_CD34_merged_all_BC3502_N01	27.28	4.95	CD34
Exp47_CD34_merged_all_BC3503_N01	12.70	3.02	CD34
Exp47_CD34_merged_all_BC3504_N01	8.81	-2.18	CD34
Exp47_CD34_merged_all_BC3505_N01	3.85	-2.92	CD34
Exp47_CD34_merged_all_BC3506_N01	2.75	5.90	CD34
Exp47_CD34_merged_all_BC3507_N01	24.19	-1.69	CD34
Exp47_CD34_merged_all_BC3508_N01	17.79	-18.97	CD34
Exp47_CD34_merged_all_BC3509_N01	25.57	-3.39	CD34
Exp47_CD34_merged_all_BC3510_N01	24.48	-2.13	CD34
Exp47_CD34_merged_all_BC3511_N01	18.44	16.16	CD34
Exp47_CD34_merged_all_BC3512_N01	20.08	23.60	CD34
Exp47_CD34_merged_all_BC3513_N01	29.25	5.80	CD34
Exp47_CD34_merged_all_BC3514_N01	14.51	3.28	CD34
Exp47_CD34_merged_all_BC3516_N01	21.47	-3.37	CD34
Exp47_CD34_merged_all_BC3517_N01	20.89	1.19	CD34
Exp47_CD34_merged_all_BC3518_N01	12.19	-5.96	CD34
Exp47_CD34_merged_all_BC3519_N01	17.46	3.33	CD34
Exp47_CD34_merged_all_BC3520_N01	-0.20	-3.19	CD34
Exp47_CD34_merged_all_BC3521_N01	5.24	3.32	CD34
Exp47_CD34_merged_all_BC3522_N01	14.68	6.42	CD34
Exp47_CD34_merged_all_BC3523_N01	7.80	18.46	CD34
Exp47_CD34_merged_all_BC3524_N01	2.44	5.97	CD34
Exp47_CD34_merged_all_BC3525_N01	18.52	-3.23	CD34
Exp47_CD34_merged_all_BC3526_N01	14.31	17.52	CD34
Exp47_CD34_merged_all_BC3527_N01	19.55	10.48	CD34
Exp47_CD34_merged_all_BC3528_N01	1.98	-29.25	CD34
Exp47_CD34_merged_all_BC3529_N01	26.29	-4.93	CD34
Exp47_CD34_merged_all_BC3530_N01	27.28	1.73	CD34
Exp47_CD34_merged_all_BC3531_N01	12.63	3.64	CD34
Exp47_CD34_merged_all_BC3532_N01	2.62	-12.39	CD34
Exp47_CD34_merged_all_BC3533_N01	29.35	1.85	CD34
Exp47_CD34_merged_all_BC3535_N01	11.33	-3.07	CD34
Exp47_CD34_merged_all_BC3536_N01	23.75	11.25	CD34
Exp47_CD34_merged_all_BC3537_N01	2.62	-25.92	CD34
Exp47_CD34_merged_all_BC3538_N01	16.69	20.12	CD34
Exp47_CD34_merged_all_BC3539_N01	32.88	-0.03	CD34
Exp47_CD34_merged_all_BC3540_N01	19.61	17.86	CD34
Exp47_CD34_merged_all_BC3541_N01	17.41	14.74	CD34
Exp47_CD34_merged_all_BC3542_N01	18.80	-4.52	CD34
Exp47_CD34_merged_all_BC3543_N01	20.54	6.98	CD34
Exp47_CD34_merged_all_BC3544_N01	15.18	24.68	CD34
Exp47_CD34_merged_all_BC3545_N01	16.08	15.44	CD34
Exp47_CD34_merged_all_BC3546_N01	17.21	18.10	CD34
Exp47_CD34_merged_all_BC3548_N01	8.52	4.86	CD34
Exp47_CD34_merged_all_BC3549_N01	25.01	6.60	CD34
Exp47_CD34_merged_all_BC3550_N01	10.94	15.85	CD34
Exp47_CD34_merged_all_BC3551_N01	17.59	16.76	CD34
Exp47_CD34_merged_all_BC3552_N01	4.00	-6.05	CD34
Exp47_CD34_merged_all_BC3553_N01	31.27	-0.78	CD34
Exp47_CD34_merged_all_BC3554_N01	24.99	9.02	CD34
Exp47_CD34_merged_all_BC3555_N01	11.65	14.85	CD34
Exp47_CD34_merged_all_BC3556_N01	5.02	-7.53	CD34
Exp47_CD34_merged_all_BC3557_N01	22.62	-19.96	CD34
Exp47_CD34_merged_all_BC3558_N01	23.13	5.94	CD34
Exp47_CD34_merged_all_BC3559_N01	21.00	11.86	CD34
Exp47_CD34_merged_all_BC3560_N01	14.49	-13.43	CD34
Exp47_CD34_merged_all_BC3561_N01	7.83	4.23	CD34
Exp47_CD34_merged_all_BC3562_N01	25.89	7.53	CD34
Exp47_CD34_merged_all_BC3563_N01	15.42	-3.65	CD34
Exp47_CD34_merged_all_BC3564_N01	11.50	0.09	CD34
Exp47_CD34_merged_all_BC3565_N01	16.64	-19.60	CD34
Exp47_CD34_merged_all_BC3566_N01	26.14	-7.50	CD34
Exp47_CD34_merged_all_BC3567_N01	7.63	4.11	CD34
Exp47_CD34_merged_all_BC3568_N01	13.03	17.88	CD34
Exp47_CD34_merged_all_BC3569_N01	11.68	-1.92	CD34
Exp47_CD34_merged_all_BC3570_N01	5.82	-4.94	CD34
Exp47_CD34_merged_all_BC3571_N01	12.35	-7.24	CD34
Exp47_CD34_merged_all_BC3572_N01	18.68	-4.95	CD34
Exp47_CD34_merged_all_BC3573_N01	23.57	9.32	CD34
Exp47_CD34_merged_all_BC3574_N01	25.49	4.03	CD34
Exp47_CD34_merged_all_BC3575_N01	10.72	-1.43	CD34
Exp47_CD34_merged_all_BC3576_N01	20.02	-5.37	CD34
Exp47_CD34_merged_all_BC3577_N01	10.13	16.79	CD34
Exp47_CD34_merged_all_BC3578_N01	5.83	9.63	CD34
Exp47_CD34_merged_all_BC3579_N01	27.65	4.95	CD34
Exp47_CD34_merged_all_BC3580_N01	27.29	9.79	CD34
Exp47_CD34_merged_all_BC3581_N01	10.39	18.65	CD34
Exp47_CD34_merged_all_BC3582_N01	23.82	-6.19	CD34
Exp47_CD34_merged_all_BC3583_N01	11.62	15.19	CD34
Exp47_CD34_merged_all_BC3584_N01	14.81	21.82	CD34
Exp47_CD34_merged_all_BC3585_N01	21.08	2.63	CD34
Exp47_CD34_merged_all_BC3586_N01	28.00	3.97	CD34
Exp47_CD34_merged_all_BC3587_N01	29.09	-8.17	CD34
Exp47_CD34_merged_all_BC3588_N01	14.48	16.68	CD34
Exp47_CD34_merged_all_BC3589_N01	9.50	-4.50	CD34
Exp47_CD34_merged_all_BC3590_N01	24.29	10.33	CD34
Exp47_CD34_merged_all_BC3591_N01	27.33	5.48	CD34
Exp47_CD34_merged_all_BC3592_N01	1.33	-29.05	CD34
Exp47_CD34_merged_all_BC3593_N01	22.97	4.05	CD34
Exp47_CD34_merged_all_BC3594_N01	24.10	16.02	CD34
Exp47_CD34_merged_all_BC3595_N01	21.35	-4.61	CD34
Exp47_CD34_merged_all_BC3596_N01	26.71	-0.89	CD34
Exp47_CD34_merged_all_BC3597_N01	23.93	-1.49	CD34
Exp47_CD34_merged_all_BC3598_N01	23.67	9.82	CD34
Exp47_CD34_merged_all_BC3599_N01	26.58	-4.71	CD34
Exp47_CD34_merged_all_BC3600_N01	27.49	4.57	CD34
Exp47_CD34_merged_all_BC3601_N01	20.79	-18.84	CD34
Exp47_CD34_merged_all_BC3602_N01	16.67	3.57	CD34
Exp47_CD34_merged_all_BC3603_N01	1.34	-33.01	CD34
Exp47_CD34_merged_all_BC3604_N01	13.99	-16.09	CD34
Exp47_CD34_merged_all_BC3605_N01	26.24	4.47	CD34
Exp47_CD34_merged_all_BC3606_N01	21.21	11.69	CD34
Exp47_CD34_merged_all_BC3607_N01	18.09	-3.17	CD34
Exp47_CD34_merged_all_BC3608_N01	17.83	18.68	CD34
Exp47_CD34_merged_all_BC3609_N01	11.68	15.77	CD34
Exp47_CD34_merged_all_BC3610_N01	15.48	1.34	CD34
Exp47_CD34_merged_all_BC3611_N01	9.40	-26.99	CD34
Exp47_CD34_merged_all_BC3613_N01	7.67	-1.80	CD34
Exp47_CD34_merged_all_BC3614_N01	9.23	-16.98	CD34
Exp47_CD34_merged_all_BC3615_N01	23.20	10.16	CD34
Exp47_CD34_merged_all_BC3616_N01	23.32	6.66	CD34
Exp47_CD34_merged_all_BC3617_N01	15.37	-7.53	CD34
Exp47_CD34_merged_all_BC3618_N01	26.65	-20.78	CD34
Exp47_CD34_merged_all_BC3619_N01	29.79	6.31	CD34
Exp47_CD34_merged_all_BC3620_N01	24.65	-0.81	CD34
Exp47_CD34_merged_all_BC3621_N01	18.11	2.17	CD34
Exp47_CD34_merged_all_BC3622_N01	6.16	-2.28	CD34
Exp47_CD34_merged_all_BC3623_N01	16.26	-0.96	CD34
Exp47_CD34_merged_all_BC3624_N01	27.72	-9.11	CD34
Exp47_CD34_merged_all_BC3625_N01	12.81	-16.64	CD34
Exp47_CD34_merged_all_BC3626_N01	14.15	19.18	CD34
Exp47_CD34_merged_all_BC3627_N01	24.68	8.61	CD34
Exp47_CD34_merged_all_BC3628_N01	3.42	0.43	CD34
Exp47_CD34_merged_all_BC3629_N01	25.79	7.72	CD34
Exp47_CD34_merged_all_BC3630_N01	6.35	2.48	CD34
Exp47_CD34_merged_all_BC3631_N01	-0.55	3.19	CD34
Exp47_CD34_merged_all_BC3632_N01	22.22	0.61	CD34
Exp47_CD34_merged_all_BC3633_N01	27.62	7.98	CD34
Exp47_CD34_merged_all_BC3634_N01	18.26	11.46	CD34
Exp47_CD34_merged_all_BC3635_N01	1.92	-1.15	CD34
Exp47_CD34_merged_all_BC3636_N01	22.21	-17.15	CD34
Exp47_CD34_merged_all_BC3637_N01	1.36	-32.47	CD34
Exp47_CD34_merged_all_BC3638_N01	18.41	-6.98	CD34
Exp47_CD34_merged_all_BC3639_N01	18.58	19.69	CD34
Exp47_CD34_merged_all_BC3640_N01	18.44	-1.70	CD34
Exp47_CD34_merged_all_BC3641_N01	30.63	5.90	CD34
Exp47_CD34_merged_all_BC3642_N01	31.37	3.72	CD34
Exp47_CD34_merged_all_BC3643_N01	12.83	14.60	CD34
Exp47_CD34_merged_all_BC3644_N01	3.65	5.26	CD34
Exp47_CD34_merged_all_BC3645_N01	0.87	-2.03	CD34
Exp47_CD34_merged_all_BC3646_N01	19.96	20.04	CD34
Exp47_CD34_merged_all_BC3648_N01	-0.12	-27.02	CD34
Exp47_CD34_merged_all_BC3649_N01	17.32	19.73	CD34
Exp47_CD34_merged_all_BC3650_N01	32.39	-2.51	CD34
Exp47_CD34_merged_all_BC3651_N01	1.74	6.45	CD34
Exp47_CD34_merged_all_BC3652_N01	24.47	-1.80	CD34
Exp47_CD34_merged_all_BC3653_N01	21.94	3.60	CD34
Exp47_CD34_merged_all_BC3654_N01	15.65	-19.60	CD34
Exp47_CD34_merged_all_BC3655_N01	4.56	3.38	CD34
Exp47_CD34_merged_all_BC3656_N01	15.63	-5.40	CD34
Exp47_CD34_merged_all_BC3657_N01	26.05	9.07	CD34
Exp47_CD34_merged_all_BC3658_N01	4.72	-4.75	CD34
Exp47_CD34_merged_all_BC3660_N01	19.45	0.83	CD34
Exp47_CD34_merged_all_BC3661_N01	15.37	17.93	CD34
Exp47_CD34_merged_all_BC3662_N01	26.23	-20.96	CD34
Exp47_CD34_merged_all_BC3663_N01	8.52	3.99	CD34
Exp47_CD34_merged_all_BC3664_N01	28.05	-10.30	CD34
Exp47_CD34_merged_all_BC3665_N01	21.82	-4.49	CD34
Exp47_CD34_merged_all_BC3666_N01	6.58	9.73	CD34
Exp47_CD34_merged_all_BC3667_N01	23.72	-19.00	CD34
Exp47_CD34_merged_all_BC3668_N01	22.16	2.03	CD34
Exp47_CD34_merged_all_BC3669_N01	18.02	1.27	CD34
Exp47_CD34_merged_all_BC3670_N01	20.22	7.61	CD34
Exp47_CD34_merged_all_BC3671_N01	13.08	-16.78	CD34
Exp47_CD34_merged_all_BC3672_N01	28.28	-5.85	CD34
Exp47_CD34_merged_all_BC3673_N01	-0.70	-2.44	CD34
Exp47_CD34_merged_all_BC3674_N01	27.72	8.85	CD34
Exp47_CD34_merged_all_BC3675_N01	3.93	-9.31	CD34
Exp47_CD34_merged_all_BC3676_N01	6.38	2.51	CD34
Exp47_CD34_merged_all_BC3677_N01	9.47	0.82	CD34
Exp47_CD34_merged_all_BC3678_N01	28.83	3.95	CD34
Exp47_CD34_merged_all_BC3679_N01	18.33	27.18	CD34
Exp47_CD34_merged_all_BC3680_N01	7.87	-5.05	CD34
Exp47_CD34_merged_all_BC3681_N01	12.83	-6.83	CD34
Exp47_CD34_merged_all_BC3682_N01	13.61	-2.12	CD34
Exp47_CD34_merged_all_BC3683_N01	9.11	10.26	CD34
Exp47_CD34_merged_all_BC3684_N01	23.04	8.30	CD34
Exp47_CD34_merged_all_BC3685_N01	21.38	-4.79	CD34
Exp47_CD34_merged_all_BC3686_N01	2.00	-14.32	CD34
Exp47_CD34_merged_all_BC3687_N01	23.86	7.33	CD34
Exp47_CD34_merged_all_BC3688_N01	2.74	5.55	CD34
Exp47_CD34_merged_all_BC3689_N01	8.22	16.76	CD34
Exp47_CD34_merged_all_BC3690_N01	1.39	5.92	CD34
Exp47_CD34_merged_all_BC3691_N01	15.75	26.17	CD34
Exp47_CD34_merged_all_BC3692_N01	27.00	4.89	CD34
Exp47_CD34_merged_all_BC3693_N01	26.88	7.39	CD34
Exp47_CD34_merged_all_BC3694_N01	19.05	-1.21	CD34
Exp47_CD34_merged_all_BC3695_N01	8.82	-2.59	CD34
Exp47_CD34_merged_all_BC3696_N01	0.09	-31.87	CD34
Exp47_CD34_merged_all_BC3697_N01	17.83	19.42	CD34
Exp47_CD34_merged_all_BC3698_N01	1.03	-7.36	CD34
Exp47_CD34_merged_all_BC3699_N01	23.23	4.21	CD34
Exp47_CD34_merged_all_BC3700_N01	21.05	1.36	CD34
Exp47_CD34_merged_all_BC3701_N01	9.23	-6.20	CD34
Exp47_CD34_merged_all_BC3702_N01	24.69	8.23	CD34
Exp47_CD34_merged_all_BC3703_N01	19.85	10.55	CD34
Exp47_CD34_merged_all_BC3704_N01	26.93	8.22	CD34
Exp47_CD34_merged_all_BC3705_N01	19.20	23.21	CD34
Exp47_CD34_merged_all_BC3706_N01	12.62	-6.96	CD34
Exp47_CD34_merged_all_BC3707_N01	21.95	6.79	CD34
Exp47_CD34_merged_all_BC3708_N01	9.07	20.16	CD34
Exp47_CD34_merged_all_BC3710_N01	12.43	13.78	CD34
Exp47_CD34_merged_all_BC3711_N01	3.64	-4.02	CD34
Exp47_CD34_merged_all_BC3712_N01	4.76	2.21	CD34
Exp47_CD34_merged_all_BC3713_N01	3.57	-1.11	CD34
Exp47_CD34_merged_all_BC3714_N01	30.06	-7.85	CD34
Exp47_CD34_merged_all_BC3715_N01	12.01	-0.60	CD34
Exp47_CD34_merged_all_BC3716_N01	13.79	14.57	CD34
Exp47_CD34_merged_all_BC3717_N01	14.66	0.64	CD34
Exp47_CD34_merged_all_BC3718_N01	4.51	1.78	CD34
Exp47_CD34_merged_all_BC3719_N01	25.72	8.73	CD34
Exp47_CD34_merged_all_BC3720_N01	6.63	2.09	CD34
Exp47_CD34_merged_all_BC3721_N01	13.95	4.60	CD34
Exp47_CD34_merged_all_BC3722_N01	27.97	8.70	CD34
Exp47_CD34_merged_all_BC3723_N01	4.73	-5.94	CD34
Exp47_CD34_merged_all_BC3724_N01	17.56	-17.46	CD34
Exp47_CD34_merged_all_BC3725_N01	10.24	-5.91	CD34
Exp47_CD34_merged_all_BC3726_N01	28.35	5.24	CD34
Exp47_CD34_merged_all_BC3727_N01	12.05	-16.32	CD34
Exp47_CD34_merged_all_BC3728_N01	15.52	15.25	CD34
Exp47_CD34_merged_all_BC3729_N01	28.09	-20.21	CD34
Exp47_CD34_merged_all_BC3730_N01	12.56	-17.25	CD34
Exp47_CD34_merged_all_BC3731_N01	31.12	4.92	CD34
Exp47_CD34_merged_all_BC3732_N01	20.13	6.83	CD34
Exp47_CD34_merged_all_BC3733_N01	27.14	7.74	CD34
Exp47_CD34_merged_all_BC3734_N01	1.15	-4.71	CD34
Exp47_CD34_merged_all_BC3735_N01	14.75	1.09	CD34
Exp47_CD34_merged_all_BC3736_N01	25.10	0.00	CD34
Exp47_CD34_merged_all_BC3737_N01	15.48	-3.95	CD34
Exp47_CD34_merged_all_BC3738_N01	14.21	-6.65	CD34
Exp47_CD34_merged_all_BC3739_N01	16.91	21.19	CD34
Exp47_CD34_merged_all_BC3740_N01	22.56	3.85	CD34
Exp47_CD34_merged_all_BC3741_N01	4.88	3.01	CD34
Exp47_CD34_merged_all_BC3742_N01	2.92	-9.01	CD34
Exp47_CD34_merged_all_BC3743_N01	1.54	9.15	CD34
Exp47_CD34_merged_all_BC3744_N01	8.85	9.42	CD34
Exp47_CD34_merged_all_BC3745_N01	31.73	-0.38	CD34
Exp47_CD34_merged_all_BC3746_N01	6.20	3.73	CD34
Exp47_CD34_merged_all_BC3747_N01	11.10	0.84	CD34
Exp47_CD34_merged_all_BC3748_N01	25.37	0.90	CD34
Exp47_CD34_merged_all_BC3749_N01	11.71	-6.27	CD34
Exp47_CD34_merged_all_BC3750_N01	19.78	-3.81	CD34
Exp47_CD34_merged_all_BC3751_N01	31.62	1.33	CD34
Exp47_CD34_merged_all_BC3752_N01	1.99	-1.57	CD34
Exp47_CD34_merged_all_BC3753_N01	6.02	3.66	CD34
Exp47_CD34_merged_all_BC3754_N01	15.54	-0.40	CD34
Exp47_CD34_merged_all_BC3755_N01	30.93	1.71	CD34
Exp47_CD34_merged_all_BC3756_N01	29.56	5.97	CD34
Exp47_CD34_merged_all_BC3757_N01	-0.56	-2.49	CD34
Exp47_CD34_merged_all_BC3758_N01	26.14	8.83	CD34
Exp47_CD34_merged_all_BC3759_N01	24.85	7.20	CD34
Exp47_CD34_merged_all_BC3760_N01	25.76	-7.94	CD34
Exp47_CD34_merged_all_BC3761_N01	12.94	1.03	CD34
Exp47_CD34_merged_all_BC3762_N01	25.60	-17.24	CD34
Exp47_CD34_merged_all_BC3763_N01	10.64	19.51	CD34
Exp47_CD34_merged_all_BC3764_N01	24.53	7.38	CD34
Exp47_CD34_merged_all_BC3765_N01	4.47	4.04	CD34
Exp47_CD34_merged_all_BC3766_N01	6.84	-1.65	CD34
Exp47_CD34_merged_all_BC3767_N01	13.66	-2.38	CD34
Exp47_CD34_merged_all_BC3768_N01	19.23	17.72	CD34
Exp47_CD34_merged_all_BC3769_N01	16.92	-0.47	CD34
Exp47_CD34_merged_all_BC3770_N01	13.51	-8.45	CD34
Exp47_CD34_merged_all_BC3771_N01	12.13	-16.33	CD34
Exp47_CD34_merged_all_BC3772_N01	2.38	6.35	CD34
Exp47_CD34_merged_all_BC3773_N01	22.91	1.83	CD34
Exp47_CD34_merged_all_BC3774_N01	27.52	5.78	CD34
Exp47_CD34_merged_all_BC3775_N01	10.03	18.02	CD34
Exp47_CD34_merged_all_BC3776_N01	4.62	-6.54	CD34
Exp47_CD34_merged_all_BC3777_N01	6.51	-16.27	CD34
Exp47_CD34_merged_all_BC3778_N01	24.85	12.56	CD34
Exp47_CD34_merged_all_BC3779_N01	26.13	-4.64	CD34
Exp47_CD34_merged_all_BC3780_N01	29.32	7.26	CD34
Exp47_CD34_merged_all_BC3781_N01	24.95	7.04	CD34
Exp47_CD34_merged_all_BC3782_N01	6.27	-4.76	CD34
Exp47_CD34_merged_all_BC3783_N01	23.54	9.48	CD34
Exp47_CD34_merged_all_BC3784_N02	15.04	-4.94	CD34
Exp47_CD34_merged_all_BC3785_N01	20.37	17.82	CD34
Exp47_CD34_merged_all_BC3786_N01	30.73	3.59	CD34
Exp47_CD34_merged_all_BC3787_N01	12.56	6.02	CD34
Exp47_CD34_merged_all_BC3788_N01	9.27	0.96	CD34
Exp47_CD34_merged_all_BC3789_N01	8.33	16.46	CD34
Exp47_CD34_merged_all_BC3790_N01	23.29	12.72	CD34
Exp47_CD34_merged_all_BC3791_N01	9.87	1.04	CD34
Exp47_CD34_merged_all_BC3792_N01	4.30	-3.01	CD34
Exp47_CD34_merged_all_BC3793_N01	22.87	9.60	CD34
Exp47_CD34_merged_all_BC3794_N01	24.13	0.00	CD34
Exp47_CD34_merged_all_BC3795_N01	30.89	5.44	CD34
Exp47_CD34_merged_all_BC3796_N01	29.22	2.29	CD34
Exp47_CD34_merged_all_BC3797_N01	0.08	1.32	CD34
Exp47_CD34_merged_all_BC3798_N01	24.84	8.33	CD34
Exp47_CD34_merged_all_BC3799_N01	14.76	-9.85	CD34
Exp47_CD34_merged_all_BC3800_N01	18.60	9.99	CD34
Exp47_CD34_merged_all_BC3801_N01	24.37	0.67	CD34
Exp47_CD34_merged_all_BC3802_N01	23.40	-18.78	CD34
Exp47_CD34_merged_all_BC3803_N01	9.69	15.28	CD34
Exp47_CD34_merged_all_BC3804_N01	21.83	8.91	CD34
Exp47_CD34_merged_all_BC3805_N01	6.29	4.05	CD34
Exp47_CD34_merged_all_BC3806_N01	11.67	-0.88	CD34
Exp47_CD34_merged_all_BC3807_N01	1.25	-26.65	CD34
Exp47_CD34_merged_all_BC3808_N01	20.70	7.57	CD34
Exp47_CD34_merged_all_BC3809_N01	7.22	-2.17	CD34
Exp47_CD34_merged_all_BC3810_N01	21.44	7.94	CD34
Exp47_CD34_merged_all_BC3811_N01	10.79	4.67	CD34
Exp47_CD34_merged_all_BC3812_N01	1.40	-33.12	CD34
Exp47_CD34_merged_all_BC3813_N01	24.82	7.38	CD34
Exp47_CD34_merged_all_BC3814_N01	22.11	25.49	CD34
Exp47_CD34_merged_all_BC3815_N02	24.21	7.09	CD34
Exp47_CD34_merged_all_BC3816_N01	25.56	9.32	CD34
Exp47_CD34_merged_all_BC3817_N01	28.05	-10.12	CD34
Exp47_CD34_merged_all_BC3818_N01	8.69	3.98	CD34
Exp47_CD34_merged_all_BC3819_N01	2.89	-1.00	CD34
Exp47_CD34_merged_all_BC3820_N01	29.10	3.74	CD34
Exp47_CD34_merged_all_BC3821_N01	20.33	-10.28	CD34
Exp47_CD34_merged_all_BC3822_N01	0.93	-24.97	CD34
Exp47_CD34_merged_all_BC3823_N01	30.86	-0.50	CD34
Exp47_CD34_merged_all_BC3824_N01	22.45	12.63	CD34
Exp47_CD34_merged_all_BC3825_N01	27.70	-21.36	CD34
Exp47_CD34_merged_all_BC3826_N01	10.25	-25.20	CD34
Exp47_CD34_merged_all_BC3827_N01	17.68	-2.60	CD34
Exp47_CD34_merged_all_BC3828_N01	26.76	10.45	CD34
Exp47_CD34_merged_all_BC3829_N01	21.65	-1.08	CD34
Exp47_CD34_merged_all_BC3830_N01	29.32	2.85	CD34
Exp47_CD34_merged_all_BC3831_N01	-0.90	-1.52	CD34
Exp47_CD34_merged_all_BC3832_N01	21.78	9.44	CD34
Exp47_CD34_merged_all_BC3833_N01	21.70	12.34	CD34
Exp47_CD34_merged_all_BC3834_N01	12.46	4.56	CD34
Exp47_CD34_merged_all_BC3835_N01	14.41	7.95	CD34
Exp47_CD34_merged_all_BC3836_N01	26.14	-18.09	CD34
Exp47_CD34_merged_all_BC3837_N01	5.19	-3.13	CD34
Exp47_CD34_merged_all_BC3838_N01	16.55	-1.43	CD34
Exp47_CD34_merged_all_BC3839_N01	3.32	8.53	CD34
Exp47_CD34_merged_all_BC3840_N01	23.09	9.59	CD34
Exp47_CD34_merged_all_BC3841_N01	25.67	5.18	CD34
Exp47_CD34_merged_all_BC3842_N01	14.54	-4.83	CD34
Exp47_CD34_merged_all_BC3843_N01	23.37	14.92	CD34
Exp47_CD34_merged_all_BC3844_N01	13.67	-14.59	CD34
Exp47_CD34_merged_all_BC3845_N01	21.58	15.48	CD34
Exp47_CD34_merged_all_BC3846_N01	11.98	5.41	CD34
Exp47_CD34_merged_all_BC3847_N01	23.01	9.20	CD34
Exp47_CD34_merged_all_BC3848_N01	16.35	0.04	CD34
Exp47_CD34_merged_all_BC3849_N01	21.02	-4.74	CD34
Exp47_CD34_merged_all_BC3850_N01	25.71	-1.67	CD34
Exp47_CD34_merged_all_BC3851_N01	17.47	18.51	CD34
Exp47_CD34_merged_all_BC3852_N01	16.72	-0.85	CD34
Exp47_CD34_merged_all_BC3853_N01	15.53	26.01	CD34
Exp47_CD34_merged_all_BC3854_N01	17.10	22.28	CD34
Exp47_CD34_merged_all_BC3855_N01	20.11	17.12	CD34
Exp47_CD34_merged_all_BC3856_N01	19.34	18.10	CD34
Exp47_CD34_merged_all_BC3857_N01	6.91	-2.26	CD34
Exp47_CD34_merged_all_BC3858_N01	0.61	-26.83	CD34
Exp47_CD34_merged_all_BC3859_N01	29.24	-3.21	CD34
Exp47_CD34_merged_all_BC3860_N01	10.40	-27.60	CD34
Exp47_CD34_merged_all_BC3861_N01	27.05	-7.80	CD34
Exp47_CD34_merged_all_BC3862_N01	11.93	5.70	CD34
Exp47_CD34_merged_all_BC3863_N01	21.43	-4.10	CD34
Exp47_CD34_merged_all_BC3864_N01	28.21	-22.23	CD34
Exp47_CD34_merged_all_BC3865_N01	2.58	-0.84	CD34
Exp47_CD34_merged_all_BC3866_N01	4.72	-4.55	CD34
Exp47_CD34_merged_all_BC3867_N01	12.21	18.35	CD34
Exp47_CD34_merged_all_BC3868_N01	6.12	8.71	CD34
Exp47_CD34_merged_all_BC3869_N01	30.13	-3.09	CD34
Exp47_CD34_merged_all_BC3870_N01	19.05	23.70	CD34
Exp47_CD34_merged_all_BC3871_N01	25.01	6.83	CD34
Exp47_CD34_merged_all_BC3873_N01	20.95	5.77	CD34
Exp47_CD34_merged_all_BC3874_N01	30.65	1.73	CD34
Exp47_CD34_merged_all_BC3875_N01	3.58	-29.99	CD34
Exp47_CD34_merged_all_BC3876_N01	11.39	-5.92	CD34
Exp47_CD34_merged_all_BC3877_N01	14.89	18.17	CD34
Exp47_CD34_merged_all_BC3878_N01	29.94	5.26	CD34
Exp47_CD34_merged_all_BC3879_N01	22.61	-2.79	CD34
Exp47_CD34_merged_all_BC3880_N01	16.36	24.90	CD34
Exp47_CD34_merged_all_BC3881_N01	30.92	4.04	CD34
Exp47_CD34_merged_all_BC3882_N01	17.87	-2.79	CD34
Exp47_CD34_merged_all_BC3884_N01	13.83	3.00	CD34
Exp47_CD34_merged_all_BC3885_N01	17.04	-0.01	CD34
Exp47_CD34_merged_all_BC3886_N01	13.71	4.53	CD34
