tSNE1	tSNE2	cluster_id	cell_id
15.54	3.65	V21	N701_Exp119_sample1_S1_BC0237_N01
2.83	6.24	V25	N701_Exp119_sample1_S1_BC0238_N01
-3.87	8.91	V25	N701_Exp119_sample1_S1_BC0239_N01
17.17	-25.08	V5	N701_Exp119_sample1_S1_BC0240_N01
-12.1	8.83	V25	N701_Exp119_sample1_S1_BC0241_N02
25.6	-17.64	V9	N701_Exp119_sample1_S1_BC0242_N02
-3.7	-29.59	V22	N701_Exp119_sample1_S1_BC0243_N02
-11.5	5.78	V25	N701_Exp119_sample1_S1_BC0244_N02
15.64	-9.58	V13	N701_Exp119_sample1_S1_BC0245_N01
15.81	-8.79	V13	N701_Exp119_sample1_S1_BC0246_N02
22.24	0.26	V21	N701_Exp119_sample1_S1_BC0247_N01
24.32	-17.44	V9	N701_Exp119_sample1_S1_BC0248_N01
-0.28	0.92	V21	N701_Exp119_sample1_S1_BC0249_N02
-0.61	3.52	V25	N701_Exp119_sample1_S1_BC0250_N02
-13.38	29.57	V15	N701_Exp119_sample1_S1_BC0251_N03
-10.94	10.35	V25	N701_Exp119_sample1_S1_BC0252_N02
3.91	-18.33	V23	N701_Exp119_sample1_S1_BC0253_N03
17.39	1.58	V21	N701_Exp119_sample1_S1_BC0254_N01
9.31	-12.06	V13	N701_Exp119_sample1_S1_BC0255_N02
1.64	-15.72	V23	N701_Exp119_sample1_S1_BC0256_N02
23.35	-7.14	V16	N701_Exp119_sample1_S1_BC0257_N01
4.54	3.75	V21	N701_Exp119_sample1_S1_BC0258_N03
-7.24	-26.59	V22	N701_Exp119_sample1_S1_BC0259_N02
29.49	9.08	V8	N701_Exp119_sample1_S1_BC0260_N01
9.71	-14.25	V13	N701_Exp119_sample1_S1_BC0261_N02
-13.15	-32.24	V6	N701_Exp119_sample1_S1_BC0262_N01
24	2.68	V21	N701_Exp119_sample1_S1_BC0263_N02
2.5	-21.63	V23	N701_Exp119_sample1_S1_BC0264_N01
3.12	3.48	V21	N701_Exp119_sample1_S1_BC0265_N02
7.8	-27.77	V14	N701_Exp119_sample1_S1_BC0266_N02
17.86	-22.53	V5	N701_Exp119_sample1_S1_BC0267_N03
23.91	-8.41	V16	N701_Exp119_sample1_S1_BC0268_N02
-0.06	-23.64	V23	N701_Exp119_sample1_S1_BC0269_N01
-0.78	-0.06	V25	N701_Exp119_sample1_S1_BC0270_N02
23.67	-2.96	V21	N701_Exp119_sample1_S1_BC0271_N02
28.36	7.15	V8	N701_Exp119_sample1_S1_BC0272_N01
-6.73	20.07	V3	N701_Exp119_sample1_S1_BC0273_N01
-8.09	17.17	V3	N701_Exp119_sample1_S1_BC0275_N02
-14.32	1.4	V18	N701_Exp119_sample1_S1_BC0276_N02
16.71	-27.88	V5	N701_Exp119_sample1_S1_BC0277_N01
-13.04	14.79	V11	N701_Exp119_sample1_S1_BC0278_N02
19.34	-6.45	V25	N701_Exp119_sample1_S1_BC0279_N02
13.67	-24.95	V24	N701_Exp119_sample1_S1_BC0280_N02
10.22	-14.19	V13	N701_Exp119_sample1_S1_BC0281_N02
27.76	-17.4	V9	N701_Exp119_sample1_S1_BC0282_N03
23.57	-8.69	V16	N701_Exp119_sample1_S1_BC0283_N02
28.06	-23.55	V9	N701_Exp119_sample1_S1_BC0284_N02
-32.28	-3.44	V10	N701_Exp119_sample1_S1_BC0285_N04
0.33	5.44	V25	N701_Exp119_sample1_S1_BC0286_N02
24.6	-2.82	V21	N701_Exp119_sample1_S1_BC0287_N03
26.01	-9.29	V16	N701_Exp119_sample1_S1_BC0288_N03
-6.47	-21.19	V23	N701_Exp119_sample1_S1_BC0289_N02
3.17	-15.91	V23	N701_Exp119_sample1_S1_BC0290_N02
1.22	-13.72	V23	N701_Exp119_sample1_S1_BC0291_N02
-12.2	9.36	V25	N701_Exp119_sample1_S1_BC0292_N02
17.75	1.91	V21	N701_Exp119_sample1_S1_BC0293_N02
2.88	-16.14	V23	N701_Exp119_sample1_S1_BC0294_N01
-6.91	24.23	V3	N701_Exp119_sample1_S1_BC0295_N03
28.92	-19.22	V9	N701_Exp119_sample1_S1_BC0296_N01
-9.89	9.83	V25	N701_Exp119_sample1_S1_BC0297_N02
3.7	-35.75	V14	N701_Exp119_sample1_S1_BC0298_N03
29.14	-4.28	V16	N701_Exp119_sample1_S1_BC0299_N02
-35.76	-3.66	V10	N701_Exp119_sample1_S1_BC0300_N03
8.76	-12.63	V13	N701_Exp119_sample1_S1_BC0301_N03
14.32	7.73	V21	N701_Exp119_sample1_S1_BC0302_N01
19.22	-23.41	V5	N701_Exp119_sample1_S1_BC0303_N01
19.53	-11.86	V16	N701_Exp119_sample1_S1_BC0304_N02
18.85	0.21	V21	N701_Exp119_sample1_S1_BC0305_N03
23.38	-5.01	V21	N701_Exp119_sample1_S1_BC0306_N03
-10.15	23.55	V3	N701_Exp119_sample1_S1_BC0307_N03
6.5	7.8	V25	N701_Exp119_sample1_S1_BC0308_N01
1.05	4.17	V25	N701_Exp119_sample1_S1_BC0309_N02
-18.5	29.31	V15	N701_Exp119_sample1_S1_BC0310_N01
-33.94	-6.73	V10	N701_Exp119_sample1_S1_BC0311_N02
11.69	-23.27	V5	N701_Exp119_sample1_S1_BC0312_N02
28.18	8.19	V8	N701_Exp119_sample1_S1_BC0313_N02
9.75	-11.77	V13	N701_Exp119_sample1_S1_BC0314_N03
-1.86	4.43	V25	N701_Exp119_sample1_S1_BC0315_N02
16.2	-7.99	V13	N701_Exp119_sample1_S1_BC0316_N03
4.14	16.7	V20	N701_Exp119_sample1_S1_BC0317_N01
-19.98	-0.44	V2	N701_Exp119_sample1_S1_BC0318_N01
1.74	28.03	V4	N701_Exp119_sample1_S1_BC0319_N02
-16.69	-0.45	V2	N701_Exp119_sample1_S1_BC0320_N02
23.16	-7.82	V16	N701_Exp119_sample1_S1_BC0321_N01
6.01	-27.86	V14	N701_Exp119_sample1_S1_BC0322_N01
9.89	8.38	V21	N701_Exp119_sample1_S1_BC0323_N01
28.53	-21.33	V9	N701_Exp119_sample1_S1_BC0324_N02
14.72	8.11	V21	N701_Exp119_sample1_S1_BC0325_N02
-3.62	6.96	V25	N701_Exp119_sample1_S1_BC0326_N02
10.62	15.49	V20	N701_Exp119_sample1_S1_BC0327_N02
28.96	8.83	V8	N701_Exp119_sample1_S1_BC0328_N01
26.13	-17.32	V9	N701_Exp119_sample1_S1_BC0329_N01
-4.16	21.1	V3	N701_Exp119_sample1_S1_BC0330_N02
-21.73	0.91	V2	N701_Exp119_sample1_S1_BC0331_N02
1.35	17.22	V20	N701_Exp119_sample1_S1_BC0332_N02
7.97	22.82	V20	N701_Exp119_sample1_S1_BC0333_N01
11.87	-9.13	V13	N701_Exp119_sample1_S1_BC0334_N03
-13.77	30.07	V15	N701_Exp119_sample1_S1_BC0335_N02
27.89	-23.56	V9	N701_Exp119_sample1_S1_BC0336_N02
5.45	8.78	V21	N701_Exp119_sample1_S1_BC0337_N02
-6.01	-15.14	V23	N701_Exp119_sample1_S1_BC0338_N01
-10.21	3.08	V25	N701_Exp119_sample1_S1_BC0339_N02
-37.1	-4.84	V10	N701_Exp119_sample1_S1_BC0341_N02
9.22	-11.7	V13	N701_Exp119_sample1_S1_BC0342_N02
32.57	2.01	V7	N701_Exp119_sample1_S1_BC0343_N03
26.19	1.94	V21	N701_Exp119_sample1_S1_BC0344_N02
29.04	-19	V9	N701_Exp119_sample1_S1_BC0345_N02
-0.52	-23.44	V23	N701_Exp119_sample1_S1_BC0346_N01
-31.31	7.05	V24	N701_Exp119_sample1_S1_BC0347_N01
0.42	-23.99	V23	N701_Exp119_sample1_S1_BC0348_N02
-7.87	23.33	V3	N701_Exp119_sample1_S1_BC0349_N02
8.09	-13.34	V13	N701_Exp119_sample1_S1_BC0350_N02
-8.73	16.9	V3	N701_Exp119_sample1_S1_BC0351_N03
2.23	11.95	V25	N701_Exp119_sample1_S1_BC0352_N02
11.84	-8.6	V21	N701_Exp119_sample1_S1_BC0353_N01
1.6	-21.51	V23	N701_Exp119_sample1_S1_BC0354_N02
6.24	3.91	V21	N701_Exp119_sample1_S1_BC0355_N02
2.06	7.03	V25	N701_Exp119_sample1_S1_BC0356_N01
-13.28	29.87	V15	N701_Exp119_sample1_S1_BC0357_N02
10.05	1.94	V21	N701_Exp119_sample1_S1_BC0358_N03
-14.52	-0.76	V18	N701_Exp119_sample1_S1_BC0359_N02
15.5	-11.06	V13	N701_Exp119_sample1_S1_BC0360_N02
0.79	26.17	V4	N701_Exp119_sample1_S1_BC0361_N02
29.21	-4.61	V16	N701_Exp119_sample1_S1_BC0362_N02
-27.3	-0.71	V2	N701_Exp119_sample1_S1_BC0363_N02
-0.74	-0.37	V21	N701_Exp119_sample1_S1_BC0364_N03
26.61	-17.72	V9	N701_Exp119_sample1_S1_BC0365_N02
-4.22	19.5	V3	N701_Exp119_sample1_S1_BC0366_N01
