DropBarcode,FRIP,tssProportion,meanInsertSize,medianInsertSize,nHumanReads,nMouseReads,uniqueNuclearFrags,totalNuclearFrags,totalMitoFrags,totalNCfilteredFrags,duplicateProportion,librarySize
N715_Exp77_sample12_S1_BC077_N02,0,0.353,205,190,517,348506,364257,1117262,50443,660,0.674,385508
N715_Exp77_sample12_S1_BC078_N01,0,0.287,231,206,223558,737,228305,590105,359947,276,0.613,252795
N715_Exp77_sample12_S1_BC079_N01,0,0.309,215,196,352,223616,227518,677014,4346,258,0.664,242351
N715_Exp77_sample12_S1_BC080_N01,0,0.361,203,186,354,223535,227170,545954,22982,381,0.584,258415
N715_Exp77_sample12_S1_BC081_N01,0,0.33,209,185,445,222028,226920,912728,16267,316,0.751,231401
N715_Exp77_sample12_S1_BC082_N01,0,0.41,208,190,291,221008,224598,673484,18508,329,0.667,238836
N715_Exp77_sample12_S1_BC083_N02,0,0.277,225,208,339237,1013,349012,1077624,472642,402,0.676,368881
N715_Exp77_sample12_S1_BC084_N01,0,0.409,202,187,339,209534,219511,649179,26062,460,0.662,234146
N715_Exp77_sample12_S1_BC085_N01,0,0.379,210,191,330,215673,219400,539048,4704,293,0.593,247398
N715_Exp77_sample12_S1_BC086_N01,0,0.317,206,186,338,215420,218850,757805,19393,292,0.711,226891
N715_Exp77_sample12_S1_BC087_N01,0,0.381,210,195,393,214555,218051,846881,18666,234,0.743,223057
N715_Exp77_sample12_S1_BC088_N01,0,0.376,208,191,261,214230,217112,598581,9564,187,0.637,235712
N715_Exp77_sample12_S1_BC089_N03,0,0.32,207,190,347,279423,274162,722207,25757,548,0.62,301703
N715_Exp77_sample12_S1_BC090_N01,0,0.294,219,204,210415,614,214032,660470,390241,170,0.676,226243
N715_Exp77_sample12_S1_BC091_N01,0,0.293,220,201,340,209316,212713,802706,9324,237,0.735,218227
N715_Exp77_sample12_S1_BC092_N01,0,0.283,219,205,208789,688,212557,629304,306564,225,0.662,226672
N715_Exp77_sample12_S1_BC093_N01,0,0.269,233,207,207421,682,211688,526698,333500,202,0.598,237566
N715_Exp77_sample12_S1_BC094_N01,0,0.386,194,182,308,207512,210589,521415,8978,377,0.596,236764
N715_Exp77_sample12_S1_BC095_N02,0,0.337,215,197,426,264421,271195,841550,5562,368,0.678,286350
N715_Exp77_sample12_S1_BC096_N01,0,0.345,206,188,326,206309,210192,730844,6298,416,0.712,217789
N715_Exp77_sample12_S1_BC097_N02,0,0.337,212,192,595,328966,339892,1321946,21977,640,0.743,347650
N715_Exp77_sample12_S1_BC098_N01,0,0.266,230,208,205001,595,209073,536875,293325,220,0.611,232010
N715_Exp77_sample12_S1_BC099_N02,0,0.267,217,204,260417,581,266133,607209,254357,259,0.562,309750
N715_Exp77_sample12_S1_BC100_N01,0,0.273,217,200,203235,784,207161,587182,292606,250,0.647,223250
N715_Exp77_sample12_S1_BC101_N01,0,0.338,199,186,327,204002,207122,818487,26104,372,0.747,211538
N715_Exp77_sample12_S1_BC102_N01,0,0.327,200,186,362,202428,205838,677615,7691,350,0.696,215043
N715_Exp77_sample12_S1_BC103_N01,0,0.334,212,194,365,201862,205766,747761,15138,236,0.725,211996
N715_Exp77_sample12_S1_BC104_N03,0,0.311,208,192,512,317346,317660,1069691,11724,1083,0.703,330678
N715_Exp77_sample12_S1_BC105_N03,0,0.283,226,209,341689,1146,288533,1107376,532504,567,0.739,295500
N715_Exp77_sample12_S1_BC106_N02,0,0.316,215,194,380,311088,319920,1064196,9359,550,0.699,333666
N715_Exp77_sample12_S1_BC107_N01,0,0.256,226,208,200098,577,203947,670184,442286,198,0.696,213131
N715_Exp77_sample12_S1_BC108_N01,0,0.429,198,181,356,199619,203299,681823,8155,514,0.702,211762
N715_Exp77_sample12_S1_BC109_N01,0,0.396,169,173,344,200043,202135,555860,20345,272,0.636,219609
N715_Exp77_sample12_S1_BC110_N02,0,0.39,215,194,396,301224,309600,1005152,9228,519,0.692,324199
N715_Exp77_sample12_S1_BC111_N01,0,0.312,226,200,355,196839,201652,605446,34358,242,0.667,214376
N715_Exp77_sample12_S1_BC112_N01,0,0.318,205,186,273,197417,200829,567909,6950,314,0.646,216556
N715_Exp77_sample12_S1_BC113_N01,0,0.304,211,190,352,196570,200570,677822,24121,386,0.704,208676
N715_Exp77_sample12_S1_BC114_N02,0,0.342,198,183,451,307268,315983,1101093,17266,602,0.713,327305
N715_Exp77_sample12_S1_BC115_N01,0,0.276,230,212,195992,640,199554,569823,432059,220,0.65,214648
N715_Exp77_sample12_S1_BC116_N01,0,0.348,210,195,300,195937,199127,479881,3480,214,0.585,226260
N715_Exp77_sample12_S1_BC117_N01,0,0.324,209,188,291,195336,198837,645264,12982,372,0.692,208229
N715_Exp77_sample12_S1_BC118_N01,0,0.342,220,197,341,194780,198788,747753,64001,369,0.734,204010
N715_Exp77_sample12_S1_BC119_N01,0,0.287,238,212,193699,571,197561,561094,94175,148,0.648,212795
N715_Exp77_sample12_S1_BC120_N02,0,0.341,210,194,377,289214,296246,813708,4214,488,0.636,321961
N715_Exp77_sample12_S1_BC121_N02,0,0.243,234,209,197981,689,205009,604851,350481,285,0.661,218795
N715_Exp77_sample12_S1_BC122_N01,0,0.285,204,189,306,192738,195629,539847,3182,206,0.638,212334
N715_Exp77_sample12_S1_BC123_N01,0,0.235,225,210,190357,713,194012,429617,212563,242,0.548,229167
N715_Exp77_sample12_S1_BC124_N04,0,0.405,211,191,384,235575,88797,818115,9988,1142,0.891,88806
N715_Exp77_sample12_S1_BC125_N01,0,0.422,209,192,334,191202,193845,585339,20836,229,0.669,205824
N715_Exp77_sample12_S1_BC126_N01,0,0.263,232,211,189285,600,193562,661472,268602,167,0.707,201051
N715_Exp77_sample12_S1_BC127_N04,0,0.268,219,202,334352,956,261603,993646,425624,515,0.737,268202
N715_Exp77_sample12_S1_BC128_N02,0,0.39,205,191,514,309482,317457,1016407,18360,491,0.688,333237
N715_Exp77_sample12_S1_BC129_N01,0,0.281,224,204,187249,722,191025,739713,474418,261,0.742,195467
N715_Exp77_sample12_S1_BC130_N02,0,0.32,219,199,518,272898,280289,938506,16206,445,0.701,292031
N715_Exp77_sample12_S1_BC131_N04,0,0.346,215,197,528,385240,324216,1036133,40337,818,0.687,340445
N715_Exp77_sample12_S1_BC132_N01,0,0.232,218,207,187105,510,190589,377547,193933,192,0.495,240783
N715_Exp77_sample12_S1_BC133_N02,0,0.405,216,195,493,275006,282426,860063,22677,468,0.672,299345
N715_Exp77_sample12_S1_BC134_N01,0,0.377,218,197,349,186202,189712,793056,9279,345,0.761,192871
N715_Exp77_sample12_S1_BC135_N01,0,0.379,204,186,262,186587,189447,446775,7594,251,0.576,217223
N715_Exp77_sample12_S1_BC136_N02,0,0.29,229,207,262396,1011,270981,778420,488741,483,0.652,291045
N715_Exp77_sample12_S1_BC137_N02,0,0.281,231,209,275861,790,282877,687926,394575,258,0.589,320254
N715_Exp77_sample12_S1_BC138_N01,0,0.331,223,204,184979,529,188568,468893,200029,217,0.598,211666
N715_Exp77_sample12_S1_BC139_N02,0,0.316,219,201,251311,819,257477,683566,338818,405,0.623,282651
N715_Exp77_sample12_S1_BC140_N01,0,0.377,226,203,237,183872,187663,607977,5550,191,0.691,196584
