DropBarcode,FRIP,tssProportion,meanInsertSize,medianInsertSize,nHumanReads,nMouseReads,uniqueNuclearFrags,totalNuclearFrags,totalMitoFrags,totalNCfilteredFrags,duplicateProportion,librarySize
N701_Exp28_Sample1_S1_BC077_N01,0,0.284,186,168,13180,5901,19316,37381,69313,4,0.483,24821
N701_Exp28_Sample1_S1_BC078_N01,0,0.325,224,201,59,18803,19223,47665,9927,1,0.597,21601
N701_Exp28_Sample1_S1_BC079_N01,0,0.392,217,192,96,18533,18914,51457,14984,0,0.632,20612
N701_Exp28_Sample1_S1_BC080_N01,0,0.407,210,190,72,18374,18659,38429,3904,0,0.514,22970
N701_Exp28_Sample1_S1_BC081_N01,0,0.337,222,197,62,18111,18521,56213,12487,0,0.671,19644
N701_Exp28_Sample1_S1_BC082_N01,0,0.371,222,195,35,18113,18501,50758,13197,1,0.636,20114
N701_Exp28_Sample1_S1_BC083_N01,0,0.404,217,198,17993,113,18373,39113,75648,12,0.53,22172
N701_Exp28_Sample1_S1_BC084_N02,0,0.361,210,189,99,24699,25200,57253,7304,3,0.56,29389
N701_Exp28_Sample1_S1_BC085_N01,0,0.313,235,208,43,17849,18246,47295,13183,0,0.614,20184
N701_Exp28_Sample1_S1_BC086_N02,0,0.408,219,199,209,17960,18420,37386,6682,1,0.507,22890
N701_Exp28_Sample1_S1_BC087_N01,0,0.364,198,179,113,17827,18165,37455,9835,0,0.515,22346
N701_Exp28_Sample1_S1_BC088_N02,0,0.299,220,201,55,18115,18429,31788,6010,0,0.42,26247
N701_Exp28_Sample1_S1_BC089_N04,0,0.286,207,193,25963,144,22444,58558,198990,23,0.617,24775
N701_Exp28_Sample1_S1_BC090_N01,0,0.266,241,211,105,17401,17976,51107,25649,4,0.648,19357
N701_Exp28_Sample1_S1_BC091_N01,0,0.339,229,205,542,17054,17927,42552,6281,1,0.579,20499
N701_Exp28_Sample1_S1_BC092_N01,0,0.35,218,194,47,17520,17861,38886,3936,4,0.541,21287
N701_Exp28_Sample1_S1_BC093_N01,0,0.365,228,202,59,17479,17801,47167,21480,4,0.623,19553
N701_Exp28_Sample1_S1_BC094_N03,0,0.452,206,190,28847,85,26998,67215,115136,8,0.598,30291
N701_Exp28_Sample1_S1_BC095_N01,0,0.376,210,197,17199,98,17543,31951,89741,11,0.451,23696
N701_Exp28_Sample1_S1_BC096_N01,0,0.345,220,198,45,17110,17400,32695,11585,2,0.468,22882
N701_Exp28_Sample1_S1_BC097_N01,0,0.331,211,191,54,17114,17397,40985,11106,0,0.576,19957
N701_Exp28_Sample1_S1_BC098_N01,0,0.38,209,184,78,17083,17373,48386,12387,0,0.641,18809
N701_Exp28_Sample1_S1_BC099_N01,0,0.296,230,203,34,16902,17278,42409,14094,3,0.593,19490
N701_Exp28_Sample1_S1_BC100_N01,0,0.367,208,191,16847,134,17268,44138,91416,14,0.609,19193
N701_Exp28_Sample1_S1_BC101_N01,0,0.405,217,196,78,16895,17195,39164,4608,0,0.561,20030
N701_Exp28_Sample1_S1_BC102_N01,0,0.322,226,202,45,16825,17137,42175,5209,0,0.594,19311
N701_Exp28_Sample1_S1_BC103_N01,0,0.356,214,195,78,16836,17120,32275,7847,0,0.47,22454
N701_Exp28_Sample1_S1_BC104_N02,0,0.389,208,193,16739,178,17214,47202,83889,16,0.635,18717
N701_Exp28_Sample1_S1_BC105_N01,0,0.314,209,190,99,16485,16782,34333,9431,3,0.511,20747
N701_Exp28_Sample1_S1_BC106_N01,0,0.36,224,198,29,16456,16744,34648,13581,0,0.517,20552
N701_Exp28_Sample1_S1_BC107_N01,0,0.315,234,209,3958,12419,16739,39175,57937,7,0.573,19257
N701_Exp28_Sample1_S1_BC108_N01,0,0.318,235,212,45,16313,16659,37718,8079,0,0.558,19461
N701_Exp28_Sample1_S1_BC109_N01,0,0.408,205,186,24,16366,16582,31434,4126,0,0.472,21652
N701_Exp28_Sample1_S1_BC110_N01,0,0.375,221,197,30,16161,16465,36097,8387,1,0.544,19550
N701_Exp28_Sample1_S1_BC111_N01,0,0.376,231,205,50,15989,16378,41276,8192,0,0.603,18294
N701_Exp28_Sample1_S1_BC112_N01,0,0.34,225,203,63,16019,16336,40194,5753,4,0.594,18410
N701_Exp28_Sample1_S1_BC113_N01,0,0.367,229,207,15683,144,16182,47012,71961,10,0.656,17333
N701_Exp28_Sample1_S1_BC114_N01,0,0.355,224,199,86,15524,15980,33847,7323,0,0.528,19341
N701_Exp28_Sample1_S1_BC115_N01,0,0.423,212,193,15133,444,15772,39383,116484,15,0.6,17677
N701_Exp28_Sample1_S1_BC116_N01,0,0.382,233,209,121,15284,15765,39671,10231,2,0.603,17619
N701_Exp28_Sample1_S1_BC117_N01,0,0.367,193,185,15401,112,15704,31660,51110,9,0.504,19602
N701_Exp28_Sample1_S1_BC118_N02,0,0.325,207,184,93,15502,15846,36031,8160,3,0.56,18473
N701_Exp28_Sample1_S1_BC119_N01,0,0.389,209,194,15328,105,15659,33586,126483,20,0.534,18817
N701_Exp28_Sample1_S1_BC120_N01,0,0.331,222,199,56,15273,15623,32077,3997,0,0.513,19270
N701_Exp28_Sample1_S1_BC121_N01,0,0.365,208,192,15229,123,15593,40756,132249,15,0.617,17202
N701_Exp28_Sample1_S1_BC122_N01,0,0.309,221,200,45,15122,15337,34260,2591,0,0.552,18036
N701_Exp28_Sample1_S1_BC123_N01,0,0.239,187,164,14968,98,15290,39396,47144,7,0.612,16948
N701_Exp28_Sample1_S1_BC124_N03,0,0.285,236,210,23390,163,22012,53140,469,2,0.586,24994
N701_Exp28_Sample1_S1_BC125_N01,0,0.383,222,199,60,14940,15231,28989,2198,1,0.475,19824
N701_Exp28_Sample1_S1_BC126_N01,0,0.359,229,203,280,14563,15149,36212,10674,1,0.582,17271
N701_Exp28_Sample1_S1_BC127_N01,0,0.321,232,212,14796,107,15135,37799,108969,11,0.6,16962
N701_Exp28_Sample1_S1_BC128_N01,0,0.368,216,196,123,14636,14966,28697,14997,1,0.478,19367
N701_Exp28_Sample1_S1_BC129_N01,0,0.328,228,206,14668,56,14959,31631,75138,4,0.527,18123
N701_Exp28_Sample1_S1_BC130_N01,0,0.374,227,207,14493,105,14849,35529,88626,5,0.582,16922
N701_Exp28_Sample1_S1_BC131_N01,0,0.332,234,214,14353,167,14775,39264,124150,10,0.624,16215
N701_Exp28_Sample1_S1_BC132_N01,0,0.327,223,198,61,14424,14731,27019,17376,0,0.455,19774
N701_Exp28_Sample1_S1_BC133_N01,0,0.387,223,206,14353,89,14661,31566,69894,4,0.536,17580
N701_Exp28_Sample1_S1_BC134_N01,0,0.362,245,220,31,14275,14616,37725,5890,2,0.613,16191
N701_Exp28_Sample1_S1_BC135_N01,0,0.314,236,212,14031,174,14540,40114,74203,16,0.638,15783
N701_Exp28_Sample1_S1_BC136_N01,0,0.346,215,191,78,14258,14530,39285,9519,4,0.63,15863
N701_Exp28_Sample1_S1_BC137_N01,0,0.362,222,198,105,14063,14403,29056,4564,0,0.504,17970
N701_Exp28_Sample1_S1_BC138_N01,0,0.326,217,202,14059,134,14362,30070,77557,13,0.522,17502
N701_Exp28_Sample1_S1_BC139_N04,0,0.398,196,183,24059,231,20555,59160,186626,23,0.653,22066
N701_Exp28_Sample1_S1_BC140_N03,0,0.373,220,195,28,20617,19374,46952,5476,1,0.587,21964
N701_Exp28_Sample1_S1_BC141_N01,0,0.377,225,202,45,13884,14205,37005,3056,1,0.616,15688
N701_Exp28_Sample1_S1_BC142_N01,0,0.397,203,186,78,13949,14200,24573,2805,0,0.422,20155
N701_Exp28_Sample1_S1_BC143_N01,0,0.376,220,191,57,13797,14129,40507,9881,0,0.651,15183
N701_Exp28_Sample1_S1_BC144_N01,0,0.336,204,186,57,13882,14108,29412,4701,2,0.52,17237
N701_Exp28_Sample1_S1_BC145_N01,0,0.325,237,215,13614,140,14052,35524,112484,7,0.604,15679
N701_Exp28_Sample1_S1_BC146_N01,0,0.378,211,202,13767,141,14036,30427,27627,4,0.539,16767
N701_Exp28_Sample1_S1_BC147_N01,0,0.34,236,211,3803,9964,14027,29551,23485,7,0.525,17031
N701_Exp28_Sample1_S1_BC148_N01,0,0.347,237,213,13549,72,14013,33068,62262,9,0.576,16063
N701_Exp28_Sample1_S1_BC149_N01,0,0.354,201,182,28,13818,14008,26906,6544,0,0.479,18103
N701_Exp28_Sample1_S1_BC150_N01,0,0.363,204,178,3765,10022,13978,30122,29665,3,0.536,16753
N701_Exp28_Sample1_S1_BC151_N01,0,0.387,211,193,13599,158,13951,31505,156692,13,0.557,16318
N701_Exp28_Sample1_S1_BC152_N01,0,0.341,227,204,41,13588,13858,29119,6042,0,0.524,16852
N701_Exp28_Sample1_S1_BC153_N01,0,0.343,196,177,50,13597,13805,26647,5707,0,0.482,17774
N701_Exp28_Sample1_S1_BC154_N01,0,0.332,218,196,62,13420,13682,23541,3469,1,0.419,19538
N701_Exp28_Sample1_S1_BC155_N01,0,0.329,211,187,57,13464,13680,31016,6562,0,0.559,15970
N701_Exp28_Sample1_S1_BC156_N01,0,0.342,211,189,30,13320,13529,29892,11169,3,0.547,15999
N701_Exp28_Sample1_S1_BC157_N01,0,0.424,215,198,13166,122,13459,33411,66991,8,0.597,15117
N701_Exp28_Sample1_S1_BC158_N02,0,0.418,210,192,68,20605,21014,45403,9927,0,0.537,25149
N701_Exp28_Sample1_S1_BC159_N01,0,0.311,217,195,80,13118,13439,34616,5987,2,0.612,14898
N701_Exp28_Sample1_S1_BC160_N02,0,0.385,222,198,133,16198,16619,34408,6361,1,0.517,20392
N701_Exp28_Sample1_S1_BC161_N01,0,0.289,215,194,42,13118,13338,27249,4317,0,0.511,16505
N701_Exp28_Sample1_S1_BC162_N02,0,0.394,235,211,13150,118,13533,34586,83169,9,0.609,15042
N701_Exp28_Sample1_S1_BC163_N01,0,0.367,234,208,62,12969,13285,30280,6203,1,0.561,15470
N701_Exp28_Sample1_S1_BC164_N04,0,0.377,224,203,17358,98,8519,60351,101145,19,0.859,8526
N701_Exp28_Sample1_S1_BC165_N01,0,0.366,227,204,35,12858,13105,30623,7206,0,0.572,15087
N701_Exp28_Sample1_S1_BC166_N01,0,0.363,220,197,18,12700,12912,25743,2106,1,0.498,16240
N701_Exp28_Sample1_S1_BC167_N03,0,0.372,218,194,61,18774,18033,40686,4477,0,0.557,21102
N701_Exp28_Sample1_S1_BC168_N01,0,0.336,253,228,12428,99,12848,30957,64152,7,0.585,14600
N701_Exp28_Sample1_S1_BC169_N01,0,0.379,204,185,54,12577,12772,23936,7477,2,0.466,16832
N701_Exp28_Sample1_S1_BC170_N01,0,0.329,237,212,85,12255,12660,25906,3245,0,0.511,15649
N701_Exp28_Sample1_S1_BC171_N01,0,0.325,210,186,80,12379,12630,27006,3044,0,0.532,15203
N701_Exp28_Sample1_S1_BC172_N01,0,0.337,226,206,12234,130,12584,31515,84524,15,0.601,14088
N701_Exp28_Sample1_S1_BC173_N01,0,0.337,210,192,35,12223,12419,21986,4833,1,0.435,17226
N701_Exp28_Sample1_S1_BC174_N01,0,0.352,226,205,50,12148,12377,25084,6292,0,0.507,15396
N701_Exp28_Sample1_S1_BC175_N01,0,0.302,241,221,12019,82,12329,29249,49853,2,0.578,14101
N701_Exp28_Sample1_S1_BC176_N01,0,0.316,235,212,216,11825,12298,29819,3371,1,0.588,13939
N701_Exp28_Sample1_S1_BC177_N01,0,0.349,222,201,111,11975,12276,29382,6948,2,0.582,13988
N701_Exp28_Sample1_S1_BC178_N01,0,0.389,206,188,46,12014,12202,21659,3647,1,0.437,16882
N701_Exp28_Sample1_S1_BC179_N01,0,0.352,215,190,39,11881,12111,32656,5227,0,0.629,13233
N701_Exp28_Sample1_S1_BC180_N01,0,0.32,213,193,37,11900,12104,26678,1445,2,0.546,14332
N701_Exp28_Sample1_S1_BC181_N01,0,0.315,212,192,97,11772,12045,27849,18456,0,0.567,13933
N701_Exp28_Sample1_S1_BC182_N01,0,0.323,218,196,26,11539,11724,22327,3779,0,0.475,15253
N701_Exp28_Sample1_S1_BC183_N01,0,0.375,208,194,11465,114,11722,27041,115691,8,0.567,13573
N701_Exp28_Sample1_S1_BC184_N02,0,0.37,215,202,18805,129,19307,43492,228980,20,0.556,22610
N701_Exp28_Sample1_S1_BC185_N01,0,0.338,218,198,28,11474,11660,21461,3856,2,0.457,15604
N701_Exp28_Sample1_S1_BC186_N02,0,0.355,233,210,11160,126,11544,29714,72693,4,0.611,12800
N701_Exp28_Sample1_S1_BC187_N01,0,0.262,244,224,11127,43,11349,24997,119944,12,0.546,13443
N701_Exp28_Sample1_S1_BC188_N01,0,0.386,236,214,10982,104,11324,31235,55936,12,0.637,12293
N701_Exp28_Sample1_S1_BC189_N01,0,0.381,198,174,201,10876,11248,23534,2011,3,0.522,13713
N701_Exp28_Sample1_S1_BC190_N01,0,0.341,232,210,10935,95,11221,29272,145997,13,0.617,12387
N701_Exp28_Sample1_S1_BC191_N03,0,0.425,212,188,155,15276,14832,34933,3640,0,0.575,17016
